mean,std,max,min,rms,label
0.9744558190891087,0.001714834249862836,0.9796035269434262,0.9683034338470561,0.9744572977816934,idle
0.9743482306093354,0.0008392832568823632,0.9762829610312781,0.9728929231935033,0.9743485848504118,idle
0.9742361295177218,0.0011009932106093433,0.9776941955437805,0.9715345541976363,0.9742367391963824,idle
0.9745104786156289,0.001132753705481965,0.9775282758058715,0.9718563113958771,0.9745111237949006,idle
0.9743878791327328,0.0013382135574724174,0.9772736464266291,0.9707492673188066,0.9743887796973033,idle
0.9743038157139334,0.0014661783133714055,0.9781249715654948,0.970683995953369,0.9743048968367141,idle
0.9744599618633691,0.00121526231366427,0.9769891043404731,0.9718881005547912,0.97446070449249,idle
0.9742938113302096,0.0012751965250107848,0.9769614629042437,0.9711333688016286,0.9742946291548568,idle
0.974472187052309,0.0009709355312909902,0.978044855822063,0.9726575399389037,0.974472661083932,idle
0.9742758788335147,0.0008362471942654831,0.9768000614250594,0.9727161559262805,0.9742762305424473,idle
0.9742705926000991,0.0007069585991746872,0.9760132837210773,0.9726392599520133,0.9742708439648596,idle
0.9744214194219251,0.0009076611348048071,0.9771445901195995,0.9717043274576892,0.9744218337044793,idle
0.9819065659610612,0.00999642398081647,1.0150988424779135,0.9617942295522469,0.9819564319255717,idle
0.9838044681261234,0.012501236472521804,1.022867552520853,0.9514588482956055,0.9838823033269782,idle
0.9836343587520818,0.005987221288355705,0.9968148524174386,0.9707862535079491,0.9836522157754741,idle
0.9835115344109934,0.008352250126580318,0.9994389075876524,0.9652297239517648,0.9835462893021356,idle
0.9830991544311535,0.011949927706679957,1.0043085432276277,0.9606607361602743,0.9831703271559817,idle
0.9850821663313907,0.01656608213798393,1.0381277667031164,0.9476159401360871,0.9852186664898306,idle
0.9835175995239905,0.012946161142757545,1.0173089402929671,0.9515080977059522,0.9836010978033727,idle
1.0133194068640323,0.023161651819890175,1.0639252840307913,0.9670005635985949,1.0135787849003155,idle
1.0126872239836562,0.013654526806980729,1.0443457138323498,0.9710555493894261,1.0127774339903117,idle
1.0118519729438582,0.013633671164064274,1.040050359357661,0.9812884438329028,1.0119419818349271,idle
1.0110390219371572,0.015370589473790336,1.0475192551929535,0.9754529511975449,1.011153516435561,idle
1.0014124562953333,0.031023042399837903,1.103325505007475,0.916209588467617,1.001883270745649,idle
0.9994909448775178,0.02375314603967953,1.0382718622788543,0.9391804618921755,0.9997675112744961,idle
1.0002709507956844,0.02838793927396208,1.0544752533843553,0.9545670170291869,1.0006656447585276,idle
1.0013338524564603,0.023537788217839105,1.0599244973110113,0.9415098671814331,1.0016049276036936,idle
0.9917830550387667,0.028068104819048166,1.0727266333973442,0.9330764491723066,0.9921722080364881,idle
0.9945491272746614,0.030284680528333194,1.07136700527877,0.9030908536797392,0.9950008970850227,idle
0.9934650086491358,0.029758555445736978,1.06854505286394,0.9272064117552251,0.993901697151182,idle
0.9956552531445098,0.030070160912240435,1.0986797759128908,0.9205316996171289,0.9961001522939347,idle
