ax,ay,az,label
-0.4580,0.6906,-0.0936,walking
-0.5966,0.4603,-0.2977,walking
-0.5776,0.5820,-0.4910,walking
-0.5299,0.9678,-0.4756,walking
-0.5175,1.0869,-0.0165,walking
-0.3705,0.7520,0.0408,walking
-0.4995,0.3816,-0.3047,walking
-0.5790,0.2524,-0.4758,walking
-0.5583,0.2709,-0.5646,walking
-0.5376,0.6418,-0.3790,walking
-0.5137,0.8948,-0.1647,walking
-0.5162,0.8392,-0.1273,walking
-0.6344,0.6946,-0.3269,walking
-0.6853,0.6903,-0.5204,walking
-0.6654,0.8982,-0.4717,walking
-0.6656,0.9221,-0.4669,walking
-0.6461,0.7147,-0.5698,walking
-0.6040,1.0055,-0.5553,walking
-0.3949,1.0499,-0.2880,walking
-0.3196,0.6771,-0.1229,walking
-0.4840,0.4678,-0.4990,walking
-0.4698,0.5907,-0.8007,walking
-0.4525,0.8131,-0.6632,walking
-0.4742,0.9520,-0.0149,walking
-0.4159,0.6438,0.1263,walking
-0.5679,0.2349,-0.3373,walking
-0.6604,0.0743,-0.5470,walking
-0.6299,0.1859,-0.6179,walking
-0.6050,0.5704,-0.4070,walking
-0.5839,0.8325,-0.1674,walking
-0.6405,0.8800,-0.3304,walking
-0.7172,0.7397,-0.5538,walking
-0.7927,0.6050,-0.8053,walking
-0.8202,0.6879,-0.7277,walking
-0.7568,0.9043,-0.5685,walking
-0.6918,1.0809,-0.4131,walking
-0.5159,1.0402,-0.1743,walking
-0.4583,0.5421,-0.1437,walking
-0.5775,0.3488,-0.4059,walking
-0.5438,0.6862,-0.5436,walking
-0.5276,1.0138,-0.4335,walking
-0.5146,1.1074,0.0107,walking
-0.3989,0.7244,-0.0071,walking
-0.5024,0.2633,-0.4415,walking
-0.5791,0.1573,-0.5825,walking
-0.5892,0.3401,-0.5372,walking
-0.5674,0.8273,-0.3080,walking
-0.5322,1.0327,-0.2242,walking
-0.5887,0.7345,-0.4110,walking
-0.6428,0.5792,-0.6289,walking
-0.6443,0.5997,-0.6248,walking
-0.6112,0.9338,-0.3535,walking
-0.5680,0.9211,-0.2158,walking
-0.5673,0.7745,-0.3422,walking
-0.5793,0.7311,-0.5571,walking
-0.4700,0.6373,-0.5765,walking
-0.4050,0.5933,-0.5254,walking
-0.3984,0.7799,-0.4781,walking
-0.4042,1.0331,-0.3260,walking
-0.4446,0.8768,0.0217,walking
-0.5132,0.5240,-0.0566,walking
-0.6039,0.2142,-0.4028,walking
-0.6411,0.1255,-0.5348,walking
-0.6467,0.2798,-0.6396,walking
-0.6259,0.5939,-0.4980,walking
-0.6200,0.8705,-0.3118,walking
