ax,ay,az,label
-0.0184,0.9358,-0.2683,idle
-0.0186,0.9375,-0.2689,idle
-0.0197,0.9352,-0.2666,idle
-0.0203,0.9364,-0.2664,idle
-0.0204,0.9371,-0.2687,idle
-0.0198,0.9366,-0.2678,idle
-0.0189,0.9377,-0.2671,idle
-0.0203,0.9355,-0.2681,idle
-0.0188,0.9359,-0.2673,idle
-0.0198,0.9359,-0.2692,idle
-0.0198,0.9382,-0.2692,idle
-0.0193,0.9386,-0.2688,idle
-0.0200,0.9368,-0.2697,idle
-0.0198,0.9375,-0.2676,idle
-0.0194,0.9363,-0.2673,idle
-0.0209,0.9364,-0.2681,idle
-0.0192,0.9358,-0.2673,idle
-0.0195,0.9358,-0.2686,idle
-0.0194,0.9357,-0.2681,idle
-0.0195,0.9368,-0.2677,idle
-0.0190,0.9368,-0.2682,idle
-0.0194,0.9368,-0.2678,idle
-0.0199,0.9365,-0.2681,idle
-0.0199,0.9360,-0.2688,idle
-0.0195,0.9365,-0.2679,idle
-0.0193,0.9366,-0.2689,idle
-0.0203,0.9365,-0.2673,idle
-0.0197,0.9365,-0.2697,idle
-0.0203,0.9371,-0.2676,idle
-0.0199,0.9365,-0.2679,idle
-0.0192,0.9365,-0.2668,idle
-0.0194,0.9365,-0.2687,idle
-0.0199,0.9368,-0.2686,idle
-0.0194,0.9368,-0.2689,idle
-0.0192,0.9365,-0.2679,idle
-0.0186,0.9370,-0.2687,idle
-0.0198,0.9355,-0.2672,idle
-0.0204,0.9368,-0.2682,idle
-0.0187,0.9357,-0.2699,idle
-0.0195,0.9368,-0.2681,idle
-0.0192,0.9382,-0.2684,idle
-0.0200,0.9370,-0.2681,idle
-0.0190,0.9366,-0.2681,idle
-0.0200,0.9360,-0.2673,idle
-0.0187,0.9376,-0.2679,idle
-0.0205,0.9365,-0.2676,idle
-0.0184,0.9348,-0.2684,idle
-0.0192,0.9348,-0.2687,idle
-0.0188,0.9353,-0.2690,idle
-0.0194,0.9365,-0.2689,idle
-0.0208,0.9368,-0.2676,idle
-0.0197,0.9368,-0.2686,idle
-0.0195,0.9380,-0.2686,idle
-0.0197,0.9358,-0.2678,idle
-0.0200,0.9357,-0.2678,idle
-0.0209,0.9364,-0.2681,idle
-0.0205,0.9365,-0.2678,idle
-0.0206,0.9359,-0.2677,idle
-0.0199,0.9366,-0.2682,idle
-0.0194,0.9386,-0.2698,idle
-0.0203,0.9358,-0.2676,idle
-0.0200,0.9352,-0.2700,idle
-0.0189,0.9365,-0.2686,idle
-0.0194,0.9371,-0.2686,idle
-0.0184,0.9346,-0.2690,idle
-0.0195,0.9354,-0.2686,idle
-0.0199,0.9362,-0.2677,idle
-0.0189,0.9362,-0.2681,idle
-0.0208,0.9371,-0.2677,idle
-0.0193,0.9366,-0.2700,idle
-0.0198,0.9366,-0.2701,idle
-0.0204,0.9370,-0.2678,idle
-0.0203,0.9370,-0.2679,idle
-0.0194,0.9371,-0.2676,idle
-0.0200,0.9365,-0.2677,idle
-0.0200,0.9353,-0.2681,idle
-0.0190,0.9355,-0.2687,idle
-0.0198,0.9368,-0.2683,idle
-0.0200,0.9360,-0.2672,idle
-0.0192,0.9363,-0.2684,idle
-0.0190,0.9353,-0.2686,idle
-0.0200,0.9369,-0.2688,idle
-0.0194,0.9370,-0.2681,idle
-0.0206,0.9369,-0.2678,idle
-0.0193,0.9368,-0.2684,idle
-0.0189,0.9363,-0.2684,idle
-0.0205,0.9359,-0.2678,idle
-0.0194,0.9369,-0.2699,idle
-0.0201,0.9373,-0.2676,idle
-0.0204,0.9359,-0.2681,idle
-0.0195,0.9359,-0.2679,idle
-0.0189,0.9371,-0.2689,idle
-0.0199,0.9374,-0.2690,idle
-0.0194,0.9368,-0.2686,idle
-0.0199,0.9376,-0.2683,idle
-0.0195,0.9357,-0.2686,idle
-0.0201,0.9365,-0.2688,idle
-0.0198,0.9363,-0.2673,idle
-0.0204,0.9362,-0.2677,idle
-0.0199,0.9369,-0.2687,idle
-0.0192,0.9365,-0.2687,idle
-0.0189,0.9353,-0.2670,idle
-0.0195,0.9355,-0.2684,idle
-0.0188,0.9359,-0.2699,idle
-0.0217,0.9366,-0.2697,idle
-0.0206,0.9381,-0.2686,idle
-0.0193,0.9371,-0.2687,idle
-0.0195,0.9366,-0.2679,idle
-0.0200,0.9365,-0.2679,idle
-0.0197,0.9353,-0.2689,idle
-0.0201,0.9346,-0.2686,idle
-0.0194,0.9363,-0.2677,idle
-0.0194,0.9358,-0.2677,idle
-0.0192,0.9368,-0.2690,idle
-0.0204,0.9359,-0.2682,idle
-0.0192,0.9359,-0.2675,idle
-0.0193,0.9359,-0.2684,idle
-0.0193,0.9362,-0.2681,idle
-0.0200,0.9360,-0.2671,idle
-0.0189,0.9363,-0.2687,idle
-0.0199,0.9359,-0.2683,idle
-0.0199,0.9366,-0.2692,idle
-0.0189,0.9373,-0.2686,idle
-0.0189,0.9364,-0.2673,idle
-0.0189,0.9365,-0.2668,idle
-0.0194,0.9365,-0.2683,idle
-0.0194,0.9366,-0.2678,idle
-0.0189,0.9351,-0.2678,idle
-0.0197,0.9360,-0.2693,idle
-0.0189,0.9365,-0.2684,idle
-0.0199,0.9371,-0.2667,idle
-0.0184,0.9370,-0.2672,idle
-0.0195,0.9373,-0.2687,idle
-0.0194,0.9358,-0.2683,idle
-0.0186,0.9365,-0.2690,idle
-0.0193,0.9370,-0.2701,idle
-0.0198,0.9391,-0.2679,idle
-0.0204,0.9376,-0.2692,idle
-0.0187,0.9373,-0.2682,idle
-0.0197,0.9370,-0.2684,idle
-0.0204,0.9355,-0.2671,idle
-0.0204,0.9357,-0.2667,idle
-0.0201,0.9340,-0.2673,idle
-0.0189,0.9365,-0.2681,idle
-0.0189,0.9363,-0.2693,idle
-0.0192,0.9366,-0.2682,idle
-0.0193,0.9359,-0.2678,idle
-0.0178,0.9363,-0.2684,idle
-0.0198,0.9366,-0.2689,idle
-0.0182,0.9366,-0.2679,idle
-0.0189,0.9358,-0.2679,idle
-0.0193,0.9363,-0.2676,idle
-0.0199,0.9366,-0.2676,idle
-0.0201,0.9364,-0.2683,idle
-0.0195,0.9391,-0.2693,idle
-0.0187,0.9376,-0.2676,idle
-0.0189,0.9364,-0.2670,idle
-0.0201,0.9371,-0.2684,idle
-0.0204,0.9375,-0.2677,idle
-0.0183,0.9366,-0.2668,idle
-0.0186,0.9351,-0.2688,idle
-0.0199,0.9366,-0.2688,idle
-0.0200,0.9368,-0.2689,idle
-0.0195,0.9376,-0.2676,idle
-0.0179,0.9371,-0.2668,idle
-0.0197,0.9373,-0.2686,idle
-0.0200,0.9373,-0.2671,idle
-0.0205,0.9375,-0.2679,idle
-0.0198,0.9358,-0.2687,idle
-0.0189,0.9355,-0.2684,idle
-0.0184,0.9358,-0.2662,idle
-0.0183,0.9366,-0.2678,idle
-0.0194,0.9368,-0.2689,idle
-0.0192,0.9365,-0.2672,idle
-0.0184,0.9360,-0.2676,idle
-0.0194,0.9369,-0.2686,idle
-0.0189,0.9371,-0.2677,idle
-0.0199,0.9362,-0.2672,idle
-0.0188,0.9368,-0.2692,idle
-0.0182,0.9366,-0.2692,idle
-0.0190,0.9366,-0.2681,idle
-0.0193,0.9369,-0.2677,idle
-0.0195,0.9357,-0.2687,idle
-0.0186,0.9369,-0.2689,idle
-0.0197,0.9371,-0.2668,idle
-0.0184,0.9368,-0.2664,idle
-0.0190,0.9362,-0.2668,idle
-0.0193,0.9351,-0.2677,idle
-0.0190,0.9375,-0.2687,idle
-0.0184,0.9371,-0.2698,idle
-0.0205,0.9380,-0.2678,idle
-0.7214,-0.1844,0.6200,idle
-0.7150,-0.1855,0.6224,idle
-0.7396,-0.1638,0.6204,idle
-0.7479,-0.1830,0.6615,idle
-0.7402,-0.1495,0.6495,idle
-0.7297,-0.1707,0.6219,idle
-0.7225,-0.1913,0.6222,idle
-0.7263,-0.1725,0.6317,idle
-0.7330,-0.1886,0.6310,idle
-0.7407,-0.1619,0.6426,idle
-0.7394,-0.1570,0.6365,idle
-0.7286,-0.1802,0.6309,idle
-0.7389,-0.1727,0.6353,idle
-0.7324,-0.1759,0.6359,idle
-0.7260,-0.1698,0.6287,idle
-0.7275,-0.1935,0.6281,idle
-0.7299,-0.1694,0.6267,idle
-0.7343,-0.1698,0.6392,idle
-0.7277,-0.1797,0.6212,idle
-0.7378,-0.1630,0.6328,idle
-0.7466,-0.1793,0.6490,idle
-0.7322,-0.1808,0.6318,idle
-0.7338,-0.1584,0.6210,idle
-0.7229,-0.1948,0.6335,idle
-0.7223,-0.1798,0.6091,idle
-0.7303,-0.1783,0.6353,idle
-0.7399,-0.1796,0.6249,idle
-0.7432,-0.1556,0.6266,idle
-0.7417,-0.1766,0.6510,idle
-0.7377,-0.1914,0.6219,idle
-0.7340,-0.1578,0.6272,idle
-0.7307,-0.1740,0.6407,idle
-0.7354,-0.2003,0.6171,idle
-0.7346,-0.1541,0.6199,idle
-0.7317,-0.1829,0.6432,idle
-0.7366,-0.2129,0.6256,idle
-0.7378,-0.1598,0.6185,idle
-0.7448,-0.1597,0.6454,idle
-0.7361,-0.1893,0.6232,idle
-0.7394,-0.1899,0.6200,idle
-0.7338,-0.1583,0.6360,idle
-0.7374,-0.1747,0.6138,idle
-0.7419,-0.1881,0.6324,idle
-0.7389,-0.1902,0.6260,idle
-0.7389,-0.1506,0.6254,idle
-0.7396,-0.1782,0.6355,idle
-0.7393,-0.1765,0.6174,idle
-0.7382,-0.1553,0.6266,idle
-0.7330,-0.1830,0.6254,idle
-0.7451,-0.1917,0.6266,idle
-0.7478,-0.1979,0.6486,idle
-0.7383,-0.1493,0.6279,idle
-0.7281,-0.1573,0.6152,idle
-0.7354,-0.1780,0.6320,idle
-0.7319,-0.1769,0.6283,idle
-0.7360,-0.1517,0.6251,idle
-0.7378,-0.1788,0.6381,idle
-0.7318,-0.1783,0.6260,idle
-0.7314,-0.1576,0.6205,idle
-0.7415,-0.1815,0.6428,idle
-0.7343,-0.1656,0.6182,idle
-0.7401,-0.1512,0.6312,idle
-0.7397,-0.1920,0.6418,idle
-0.7330,-0.1622,0.6234,idle
-0.7361,-0.1660,0.6305,idle
-0.7321,-0.1757,0.6260,idle
-0.7360,-0.1666,0.6274,idle
-0.7397,-0.1719,0.6379,idle
-0.7358,-0.1589,0.6176,idle
-0.7400,-0.1584,0.6368,idle
-0.7412,-0.1823,0.6400,idle
-0.7335,-0.1658,0.6129,idle
-0.7365,-0.1527,0.6344,idle
-0.7345,-0.1760,0.6368,idle
-0.7339,-0.1681,0.6108,idle
-0.7400,-0.1614,0.6382,idle
-0.7424,-0.1671,0.6522,idle
-0.7310,-0.1765,0.6221,idle
-0.7310,-0.1658,0.6093,idle
-0.7283,-0.1761,0.6492,idle
-0.7365,-0.1700,0.5934,idle
-0.7449,-0.1625,0.6364,idle
-0.7557,-0.1505,0.6727,idle
-0.7426,-0.1719,0.6094,idle
-0.7328,-0.1722,0.6385,idle
-0.7229,-0.1646,0.6248,idle
-0.7255,-0.1687,0.5920,idle
-0.7335,-0.1940,0.6372,idle
-0.7363,-0.1713,0.6361,idle
-0.7369,-0.1560,0.6122,idle
