ax,ay,az,gx,gy,gz,label
-0.831,0.966,0.172,-42.358,55.237,-8.606,2
-0.828,0.985,0.178,-37.354,60.425,-11.963,2
-0.820,0.979,0.196,-67.322,66.711,-17.212,2
-0.834,1.072,0.272,-57.007,76.294,-24.719,2
-0.831,1.106,0.321,-9.644,88.379,-32.654,2
-0.786,1.073,0.317,-4.944,100.281,-40.100,2
-0.752,1.077,0.350,-43.884,114.685,-49.805,2
-0.788,1.117,0.409,-67.566,128.784,-58.777,2
-0.825,1.173,0.463,-51.880,144.531,-67.810,2
-0.809,1.152,0.495,-26.550,157.837,-74.463,2
-0.792,1.103,0.506,-20.752,170.776,-80.139,2
-0.854,1.051,0.458,-38.391,183.166,-85.510,2
-0.764,0.988,0.459,-56.030,194.580,-90.515,2
-0.732,0.951,0.469,-45.654,202.759,-93.811,2
-0.741,0.896,0.488,-25.818,206.665,-94.482,2
-0.756,0.860,0.507,12.512,207.153,-93.506,2
-0.770,0.775,0.510,44.739,203.674,-91.614,2
-0.754,0.730,0.505,53.162,197.510,-89.233,2
-0.745,0.724,0.490,53.833,190.063,-85.876,2
-0.667,0.730,0.450,61.951,182.373,-80.322,2
-0.608,0.759,0.416,79.834,175.049,-71.594,2
-0.539,0.736,0.361,91.492,166.626,-60.242,2
-0.445,0.698,0.329,68.970,156.494,-50.171,2
-0.422,0.710,0.344,52.490,144.714,-42.480,2
-0.409,0.740,0.353,71.411,133.362,-36.865,2
-0.369,0.733,0.333,85.693,124.207,-32.410,2
-0.364,0.729,0.310,78.125,116.455,-29.480,2
-0.358,0.818,0.339,48.706,109.314,-27.100,2
-0.292,1.018,0.454,31.433,100.952,-20.874,2
-0.181,1.236,0.589,14.709,91.614,-11.047,2
-0.120,1.398,0.691,-17.639,81.116,-0.977,2
-0.104,1.551,0.784,-31.006,71.289,8.362,2
-0.150,1.537,0.745,-35.156,62.134,15.869,2
-0.138,1.416,0.625,-40.405,54.810,22.400,2
-0.142,1.190,0.430,-59.143,51.392,25.513,2
-0.132,0.906,0.218,-109.192,51.819,23.254,2
-0.146,0.699,0.116,-141.113,54.443,16.968,2
-0.045,0.492,0.051,-108.337,58.289,7.568,2
0.082,0.302,-0.014,-45.166,61.707,-2.014,2
