ax,ay,az,gx,gy,gz,label
-0.304,1.353,-0.366,13.367,30.701,-17.212,1
-0.392,1.320,-0.382,5.493,31.433,-23.804,1
-0.434,1.346,-0.367,-2.380,32.166,-32.227,1
-0.470,1.373,-0.368,-2.380,33.203,-43.518,1
-0.459,1.382,-0.357,15.564,35.156,-54.932,1
-0.433,1.311,-0.366,23.315,38.086,-64.026,1
-0.414,1.246,-0.366,-16.663,40.955,-73.425,1
-0.419,1.282,-0.297,-33.447,44.006,-82.947,1
-0.407,1.274,-0.245,-9.827,45.898,-89.233,1
-0.403,1.204,-0.215,17.578,48.584,-93.933,1
-0.368,1.127,-0.210,24.841,52.002,-97.229,1
-0.374,1.071,-0.196,26.245,54.871,-99.731,1
-0.355,0.996,-0.191,23.499,58.167,-101.440,1
-0.336,0.954,-0.192,19.104,60.913,-102.966,1
-0.339,0.927,-0.192,26.184,64.758,-104.370,1
-0.344,0.899,-0.193,35.400,69.275,-105.896,1
-0.303,0.909,-0.199,41.504,74.829,-106.384,1
-0.284,0.938,-0.183,31.006,80.505,-107.178,1
-0.284,0.975,-0.170,36.926,85.388,-107.483,1
-0.333,0.973,-0.140,44.556,89.050,-108.337,1
-0.340,0.981,-0.154,48.096,93.323,-109.436,1
-0.347,1.006,-0.152,42.786,96.069,-111.938,1
-0.308,1.022,-0.139,30.396,98.572,-114.136,1
-0.250,1.077,-0.108,28.748,99.426,-114.746,1
-0.157,1.102,-0.093,50.354,100.098,-113.220,1
-0.118,1.112,-0.112,74.829,102.173,-110.718,1
-0.196,1.102,-0.160,100.098,106.262,-107.727,1
-0.346,1.063,-0.216,103.149,111.145,-106.812,1
-0.459,1.036,-0.286,90.271,115.295,-108.032,1
-0.546,1.041,-0.305,79.590,117.798,-110.413,1
-0.635,1.059,-0.339,65.308,120.422,-113.770,1
-0.651,1.028,-0.350,62.805,122.620,-119.873,1
-0.583,0.985,-0.374,56.885,123.901,-125.793,1
-0.527,0.945,-0.391,49.805,122.498,-130.859,1
-0.457,0.941,-0.389,65.430,117.676,-134.399,1
-0.330,0.881,-0.423,54.077,108.582,-134.399,1
-0.219,0.881,-0.367,30.579,98.022,-132.751,1
-0.054,0.867,-0.389,48.767,90.210,-128.479,1
0.086,0.800,-0.532,80.627,85.144,-120.911,1
0.245,0.680,-0.664,74.097,82.703,-112.732,1
0.330,0.650,-0.604,28.748,78.186,-104.492,1
0.354,0.660,-0.523,18.799,73.303,-96.619,1
0.378,0.613,-0.499,12.024,67.505,-89.783,1
0.387,0.583,-0.510,2.441,60.547,-84.229,1
0.449,0.559,-0.534,8.179,54.871,-79.834,1
0.504,0.543,-0.497,21.545,48.950,-74.890,1
0.519,0.507,-0.460,41.260,44.434,-69.458,1
0.504,0.472,-0.457,67.261,41.443,-64.453,1
0.484,0.449,-0.455,70.679,38.818,-59.570,1
0.500,0.420,-0.454,41.992,35.889,-55.298,1
0.596,0.444,-0.421,6.958,30.823,-53.162,1
0.589,0.543,-0.366,17.456,27.222,-50.110,1
0.617,0.564,-0.345,65.796,24.414,-46.204,1
0.634,0.546,-0.332,95.642,22.217,-42.236,1
0.652,0.527,-0.315,108.459,20.264,-38.330,1
