ax,ay,az,gx,gy,gz,label
-0.642,0.665,0.327,-16.968,-2.686,5.066,0
-0.635,0.672,0.307,-16.541,-3.174,5.493,0
-0.646,0.676,0.286,-11.536,-3.113,5.310,0
-0.635,0.676,0.261,-7.751,-3.235,5.859,0
-0.653,0.672,0.251,-7.751,-3.296,6.226,0
-0.649,0.675,0.244,-8.545,-3.174,6.104,0
-0.651,0.680,0.231,-10.071,-3.052,6.348,0
-0.660,0.690,0.226,-12.695,-2.991,6.531,0
-0.673,0.695,0.219,-12.817,-3.235,7.202,0
-0.680,0.694,0.209,-12.268,-3.235,7.507,0
-0.678,0.687,0.204,-13.733,-3.662,8.301,0
-0.685,0.682,0.204,-15.686,-3.357,8.545,0
-0.687,0.681,0.217,-14.221,-3.540,8.362,0
-0.690,0.682,0.232,-5.737,-3.967,7.996,0
-0.690,0.687,0.238,3.113,-4.150,7.080,0
-0.688,0.696,0.237,9.521,-4.578,5.981,0
-0.690,0.702,0.233,11.536,-4.761,5.066,0
-0.690,0.696,0.244,6.042,-4.822,3.906,0
-0.683,0.686,0.254,-0.549,-5.493,2.930,0
-0.679,0.695,0.259,-1.953,-6.042,1.404,0
-0.672,0.703,0.260,3.540,-5.798,0.183,0
-0.674,0.711,0.262,11.108,-5.554,-1.038,0
-0.676,0.719,0.260,15.564,-5.249,-2.136,0
-0.669,0.710,0.256,13.367,-4.761,-2.808,0
-0.665,0.697,0.251,5.981,-4.333,-3.967,0
-0.682,0.698,0.254,1.770,-4.028,-4.761,0
-0.679,0.695,0.266,5.188,-3.357,-5.554,0
-0.665,0.696,0.271,13.306,-2.930,-6.226,0
-0.678,0.698,0.265,20.508,-2.380,-6.653,0
-0.670,0.688,0.263,20.203,-2.136,-6.958,0
-0.668,0.680,0.265,12.756,-2.075,-7.446,0
-0.675,0.679,0.270,5.188,-2.319,-7.690,0
-0.683,0.679,0.268,3.601,-2.380,-7.568,0
-0.680,0.676,0.278,8.118,-2.869,-7.568,0
-0.677,0.672,0.270,14.099,-2.991,-7.507,0
-0.671,0.667,0.269,18.127,-2.869,-7.507,0
-0.679,0.664,0.268,16.479,-3.174,-7.324,0
-0.670,0.659,0.269,8.118,-3.784,-7.141,0
-0.673,0.661,0.262,3.723,-4.211,-6.714,0
-0.671,0.665,0.259,6.897,-4.272,-6.165,0
-0.675,0.662,0.261,10.437,-4.333,-5.493,0
-0.676,0.656,0.262,11.719,-4.456,-5.127,0
-0.672,0.655,0.261,9.583,-4.150,-4.883,0
-0.675,0.657,0.266,5.798,-4.517,-4.150,0
-0.670,0.661,0.269,3.540,-4.211,-3.662,0
-0.659,0.666,0.274,3.174,-4.333,-3.174,0
-0.653,0.668,0.276,3.662,-4.456,-2.075,0
