ax,ay,az,gx,gy,gz,label
-8.000,0.024,1.051,661.133,-540.710,-695.373,1
-8.000,-0.371,0.913,469.543,-379.517,-725.525,1
-6.829,-0.357,1.390,392.700,-263.855,-705.810,1
-6.131,-0.589,1.299,430.237,-142.334,-665.588,1
-5.638,-0.837,1.184,326.416,-36.682,-615.601,1
-5.187,-0.521,1.159,290.894,31.067,-558.716,1
-4.477,-0.793,0.862,306.824,95.703,-490.417,1
-3.660,-1.114,0.585,262.817,152.466,-423.096,1
-3.106,-1.282,0.612,180.542,185.486,-364.258,1
-2.481,-1.185,0.552,145.020,205.566,-302.185,1
-1.803,-1.204,0.541,143.799,215.027,-245.972,1
-1.349,-1.014,0.546,135.132,213.806,-192.688,1
-1.147,-0.767,0.494,146.118,208.313,-137.695,1
-0.892,-0.598,0.377,146.423,198.486,-85.022,1
-0.703,-0.610,0.299,139.404,191.467,-43.884,1
-0.551,-0.574,0.296,133.972,185.120,-15.259,1
-0.474,-0.504,0.276,136.963,177.673,10.742,1
-0.348,-0.430,0.229,147.644,170.349,31.067,1
-0.147,-0.344,0.117,149.719,162.048,50.842,1
-0.092,-0.273,0.101,151.550,153.870,64.880,1
0.020,-0.190,0.083,155.884,145.935,77.087,1
0.151,-0.154,0.091,151.306,138.794,87.646,1
0.266,-0.134,0.006,135.193,134.460,93.933,1
0.407,-0.042,-0.028,106.995,131.653,98.145,1
0.418,0.022,0.014,86.121,128.479,98.572,1
0.415,0.095,0.000,83.496,124.634,96.863,1
0.529,0.210,-0.024,110.352,121.216,93.567,1
0.674,0.244,-0.112,138.916,119.141,89.661,1
0.765,0.301,-0.078,127.991,115.479,85.632,1
0.740,0.397,-0.091,109.863,111.755,79.834,1
0.777,0.556,-0.152,110.962,110.046,74.097,1
0.802,0.695,-0.212,126.831,108.154,65.796,1
0.771,0.822,-0.271,143.860,106.323,57.068,1
0.740,0.861,-0.352,161.072,105.041,47.668,1
0.780,0.967,-0.368,175.171,102.783,40.344,1
0.866,1.070,-0.382,197.449,98.572,34.241,1
0.850,1.141,-0.442,210.327,94.116,29.236,1
0.780,1.141,-0.520,209.839,93.262,22.644,1
0.792,1.138,-0.558,187.134,92.468,14.587,1
0.807,1.136,-0.537,171.326,91.736,6.592,1
0.849,1.173,-0.525,169.983,88.379,-0.427,1
0.884,1.219,-0.521,196.045,85.205,-6.287,1
0.873,1.201,-0.543,221.313,84.534,-13.367,1
0.804,1.142,-0.534,204.407,84.656,-22.827,1
0.839,1.110,-0.517,179.016,85.876,-31.433,1
0.846,1.058,-0.536,138.977,84.961,-40.710,1
0.821,1.042,-0.534,119.629,82.214,-48.767,1
0.829,1.007,-0.547,128.540,78.552,-55.237,1
0.881,1.010,-0.586,153.137,74.524,-59.204,1
0.935,0.990,-0.609,178.955,72.144,-60.120,1
0.892,0.912,-0.604,187.744,69.153,-60.730,1
0.861,0.856,-0.633,184.204,66.406,-60.852,1
0.867,0.743,-0.564,186.218,63.293,-60.181,1
0.798,0.729,-0.588,172.791,60.730,-59.509,1
0.816,0.767,-0.573,173.096,57.678,-59.143,1
0.789,0.757,-0.594,195.251,55.115,-59.143,1
0.800,0.873,-0.514,246.643,53.162,-58.044,1
0.924,0.773,-0.432,275.269,50.354,-58.350,1
0.943,0.760,-0.434,274.048,48.096,-56.335,1
0.937,0.800,-0.345,271.667,46.448,-54.749,1
0.829,0.792,-0.293,272.034,45.898,-53.894,1
0.843,0.797,-0.232,273.010,45.715,-53.284,1
0.811,0.795,-0.235,226.929,44.983,-55.359,1
0.898,0.829,-0.127,156.738,43.335,-60.364,1
0.889,0.949,-0.061,103.760,41.260,-65.674,1
0.856,0.964,0.007,95.642,41.138,-72.876,1
0.796,0.942,0.031,93.994,42.725,-79.834,1
0.766,0.838,0.020,64.819,46.204,-85.754,1
0.711,0.795,-0.000,52.063,54.138,-93.933,1
0.482,0.775,0.050,26.550,64.148,-98.022,1
0.578,0.497,0.015,-6.348,75.439,-108.459,1
0.531,0.282,0.019,-20.996,85.266,-112.549,1
0.361,0.320,0.128,-10.315,96.252,-115.784,1
0.196,0.194,0.141,16.296,110.107,-117.126,1
-0.010,0.078,0.177,33.142,124.084,-116.089,1
-0.203,-0.008,0.152,63.171,140.503,-114.807,1
-0.353,-0.072,0.094,105.225,157.837,-107.544,1
-0.595,-0.174,-0.111,83.496,174.927,-93.567,1
-0.788,-0.326,-0.166,-45.593,186.523,-82.397,1
-0.970,-0.311,-0.144,-140.808,191.162,-71.899,1
-0.962,-0.376,-0.110,-105.408,191.040,-55.481,1
-1.039,-0.486,-0.389,-40.710,193.237,-29.175,1
-0.967,-0.951,-0.701,-85.571,196.411,3.113,1
-1.090,-1.150,-0.584,-115.112,197.876,37.476,1
-1.152,-1.013,-0.473,11.963,200.317,84.961,1
-1.432,-0.973,-0.747,36.987,192.932,135.620,1
-1.526,-0.887,-0.578,38.513,183.960,190.186,1
-1.821,-0.785,-0.789,88.562,171.753,252.075,1
-2.129,-0.694,-0.789,167.541,151.611,320.801,1
-2.352,-0.542,-0.878,252.014,120.056,399.597,1
-2.872,-0.558,-0.956,323.181,74.829,489.563,1
-3.829,-0.679,-1.128,324.524,8.728,590.942,1
-4.984,-0.514,-1.105,363.159,-60.303,685.425,1
-6.076,-0.311,-1.113,514.954,-158.447,779.663,1
-7.613,-0.156,-1.167,644.165,-311.890,853.210,1
-8.000,-0.043,-1.270,663.025,-486.572,875.183,1
-8.000,-0.092,-1.259,556.152,-648.437,848.450,1
-8.000,-0.076,-1.106,357.300,-754.700,804.199,1
-8.000,0.892,-0.004,201.538,-814.941,775.391,1
-8.000,1.887,0.580,458.557,-863.586,734.741,1
-8.000,2.338,0.809,770.874,-945.373,589.233,1
-8.000,1.252,1.232,1001.404,-976.929,342.102,1
-8.000,1.262,1.021,1117.615,-925.964,26.306,1
-8.000,1.339,0.734,994.751,-825.134,-214.844,1
-7.993,0.726,0.668,701.843,-667.541,-385.132,1
-6.770,0.359,1.025,348.206,-562.500,-438.171,1
-6.103,0.285,1.229,246.521,-471.863,-449.707,1
-5.128,0.118,1.407,334.900,-378.967,-454.285,1
-4.497,-0.350,1.292,307.922,-290.466,-456.665,1
-3.790,-0.824,1.407,164.856,-213.928,-443.970,1
-3.307,-0.807,1.528,160.461,-152.344,-419.556,1
-2.684,-0.854,1.487,174.927,-96.069,-387.878,1
-1.956,-0.942,1.341,146.545,-38.757,-344.849,1
-1.546,-0.930,1.233,128.906,7.996,-296.082,1
-1.256,-0.906,1.116,106.201,39.429,-251.526,1
-1.060,-0.721,1.023,102.539,61.829,-210.022,1
-0.854,-0.646,0.885,97.412,78.735,-169.312,1
-0.709,-0.515,0.784,107.849,90.881,-136.536,1
-0.580,-0.415,0.689,121.094,100.647,-107.117,1
-0.448,-0.314,0.578,135.620,106.201,-83.191,1
-0.347,-0.259,0.455,139.771,110.107,-64.026,1
-0.269,-0.185,0.386,128.601,111.694,-49.927,1
-0.085,-0.162,0.334,114.380,109.680,-39.795,1
0.152,-0.156,0.291,114.136,107.178,-33.325,1
0.346,-0.122,0.343,141.296,104.858,-27.283,1
0.592,-0.096,0.332,174.805,103.943,-21.362,1
0.718,-0.132,0.248,178.406,104.431,-14.587,1
0.791,-0.096,0.198,163.452,105.591,-10.437,1
0.826,-0.079,0.250,157.471,104.431,-7.080,1
0.856,-0.027,0.245,168.640,101.807,-2.869,1
0.974,-0.020,0.265,181.824,97.778,2.747,1
0.989,-0.018,0.172,173.828,95.398,7.568,1
1.119,-0.051,0.200,131.409,91.370,13.306,1
1.157,-0.029,0.151,64.514,92.407,18.372,1
1.369,0.064,0.121,12.817,95.154,21.423,1
1.406,0.061,0.175,8.972,99.792,21.057,1
1.184,0.194,0.192,45.044,107.727,21.912,1
1.217,0.275,0.195,75.256,115.479,24.536,1
1.304,0.498,0.176,142.822,126.648,26.001,1
0.913,0.507,0.244,256.592,132.385,12.756,1
0.846,0.857,0.113,343.445,139.587,0.122,1
0.675,0.933,0.033,332.397,146.790,-6.226,1
0.434,1.098,-0.060,294.312,152.405,-18.799,1
0.450,1.184,-0.128,275.024,158.020,-31.982,1
0.425,1.212,-0.241,242.615,163.147,-45.654,1
0.452,1.229,-0.380,201.355,166.687,-56.946,1
0.451,1.227,-0.461,149.780,165.039,-70.435,1
0.435,1.232,-0.472,144.348,158.386,-83.801,1
0.496,1.224,-0.566,183.655,148.010,-94.177,1
0.554,1.215,-0.727,240.601,134.827,-99.304,1
0.691,1.099,-1.093,278.503,125.122,-101.868,1
0.675,1.144,-1.314,270.447,112.000,-104.797,1
0.604,1.226,-1.272,361.633,102.173,-106.628,1
0.550,1.158,-1.335,496.338,98.755,-103.882,1
0.630,0.824,-1.210,521.667,103.699,-95.764,1
0.592,0.516,-1.061,354.797,106.079,-93.872,1
0.862,0.641,-0.918,200.684,102.966,-95.215,1
0.907,0.780,-0.806,220.764,100.098,-93.140,1
0.968,0.574,-0.862,186.707,98.816,-91.980,1
0.882,0.417,-0.940,88.196,96.619,-95.276,1
0.928,0.380,-0.843,31.982,95.886,-101.318,1
0.870,0.398,-0.845,16.907,94.299,-103.210,1
0.990,0.473,-0.825,-3.601,90.393,-95.276,1
1.186,0.658,-0.785,-21.729,79.773,-81.360,1
1.126,0.734,-0.834,37.109,66.223,-68.970,1
0.906,0.855,-0.974,75.012,54.443,-63.721,1
0.644,1.053,-1.084,50.659,38.757,-72.144,1
0.266,1.355,-1.128,93.079,27.527,-87.463,1
0.150,1.387,-1.125,142.151,18.066,-110.840,1
0.139,1.361,-0.958,151.550,10.742,-132.385,1
-0.052,1.179,-0.792,193.909,11.230,-152.832,1
-0.313,0.897,-0.635,209.106,22.461,-164.978,1
-0.087,0.494,-0.445,148.926,36.682,-173.584,1
-0.231,0.271,-0.272,68.970,49.927,-178.284,1
-0.254,0.066,-0.191,73.792,67.688,-178.711,1
-0.360,-0.151,-0.134,61.157,91.370,-174.316,1
-0.292,-0.321,-0.054,94.116,115.356,-160.522,1
-0.145,-0.476,-0.141,96.375,137.390,-135.620,1
-0.105,-0.606,-0.290,33.875,153.748,-106.445,1
-0.258,-0.533,-0.464,11.475,167.847,-72.937,1
-0.513,-0.491,-0.634,78.613,182.129,-31.738,1
-0.718,-0.482,-0.842,72.632,191.711,11.169,1
-0.900,-0.469,-0.953,75.073,197.449,60.364,1
-1.049,-0.575,-1.155,52.795,198.303,111.938,1
-1.213,-0.669,-1.286,-24.719,196.716,175.293,1
-1.406,-0.682,-1.299,-9.583,191.162,230.652,1
