ax,ay,az,gx,gy,gz,label
-0.107,0.987,0.125,-1.038,0.427,-2.808,0
-0.112,0.989,0.133,-2.563,0.061,-3.723,0
-0.107,0.985,0.138,1.709,-0.061,-3.967,0
-0.110,0.977,0.130,4.456,-0.488,-4.333,0
-0.102,0.975,0.122,1.892,-0.488,-4.883,0
-0.100,0.981,0.119,-0.183,-0.366,-4.517,0
-0.100,0.979,0.114,-0.427,-0.549,-3.906,0
-0.095,0.972,0.116,-0.916,-0.793,-3.418,0
-0.097,0.965,0.112,-0.854,-0.732,-2.869,0
-0.104,0.960,0.112,-0.854,-0.732,-2.502,0
-0.099,0.957,0.117,-1.404,-1.099,-1.892,0
-0.096,0.958,0.111,-2.869,-1.160,-1.282,0
-0.092,0.963,0.115,-3.052,-1.343,-0.671,0
-0.090,0.973,0.115,0.061,-1.465,-0.061,0
-0.088,0.977,0.113,3.540,-1.282,0.793,0
-0.084,0.974,0.106,3.357,-0.977,1.465,0
-0.084,0.979,0.101,0.061,-0.549,1.709,0
-0.081,0.982,0.110,-2.625,-0.549,1.953,0
-0.086,0.985,0.116,-3.357,-0.122,2.136,0
-0.083,0.993,0.123,-1.282,0.000,2.319,0
-0.091,0.990,0.128,2.380,0.793,2.380,0
-0.089,0.987,0.116,3.967,1.343,1.892,0
-0.096,0.983,0.114,1.770,1.770,1.404,0
-0.095,0.984,0.113,-4.578,1.892,0.916,0
-0.102,0.983,0.122,-6.104,2.380,0.488,0
-0.097,0.980,0.121,-2.991,2.808,-0.061,0
-0.088,0.982,0.123,0.183,2.930,-0.671,0
-0.087,0.984,0.117,-0.488,3.235,-1.038,0
-0.083,0.988,0.117,-2.380,3.174,-1.343,0
-0.087,0.986,0.107,-3.784,3.174,-1.221,0
-0.084,0.985,0.107,-2.441,3.113,-1.038,0
-0.085,0.988,0.108,-0.366,2.869,-0.854,0
-0.094,0.995,0.104,-0.122,2.747,-0.366,0
-0.097,0.997,0.105,0.000,2.747,0.244,0
-0.100,0.993,0.102,2.014,2.563,0.244,0
-0.100,0.987,0.100,4.456,2.686,0.488,0
-0.100,0.981,0.107,4.150,2.808,0.183,0
-0.105,0.990,0.115,4.944,2.502,0.366,0
-0.095,0.995,0.120,11.353,2.502,0.183,0
-0.089,0.982,0.111,18.799,2.197,-0.061,0
-0.090,0.965,0.113,16.357,1.770,-0.427,0
-0.087,0.966,0.119,7.507,1.282,-0.732,0
-0.094,0.971,0.122,0.793,0.671,-1.160,0
-0.091,0.972,0.125,-1.526,0.366,-1.282,0
-0.088,0.975,0.127,0.061,-0.122,-1.404,0
-0.078,0.977,0.126,0.793,-0.244,-1.343,0
-0.084,0.989,0.122,0.793,-0.366,-1.526,0
-0.084,0.986,0.125,1.221,-0.366,-1.404,0
-0.083,0.984,0.123,1.587,-0.671,-0.916,0
-0.088,0.978,0.122,0.244,-0.549,-1.404,0
-0.094,0.973,0.126,-2.319,-0.854,-0.977,0
-0.100,0.974,0.126,-2.014,-0.916,-0.977,0
-0.100,0.972,0.122,-1.038,-0.977,-0.854,0
-0.092,0.970,0.119,-1.221,-0.916,-0.732,0
-0.089,0.967,0.123,-3.174,-0.977,-0.671,0
-0.090,0.966,0.126,-3.357,-1.099,-0.183,0
-0.092,0.966,0.127,-1.770,-1.221,0.061,0
-0.087,0.969,0.127,-1.953,-1.221,0.061,0
-0.077,0.980,0.123,-2.563,-1.221,0.610,0
-0.076,0.992,0.123,-1.770,-1.038,1.282,0
-0.075,0.992,0.120,2.136,-0.671,1.526,0
-0.084,0.993,0.125,5.432,-0.549,1.648,0
-0.085,0.985,0.128,3.113,0.183,1.221,0
-0.090,0.981,0.136,-2.136,0.122,0.549,0
-0.102,0.989,0.139,-3.479,0.244,0.000,0
-0.100,0.986,0.133,-0.183,0.183,-0.244,0
-0.093,0.985,0.125,1.465,0.366,-0.671,0
-0.096,0.984,0.116,-0.977,0.671,-0.916,0
-0.096,0.984,0.121,-4.761,0.671,-1.282,0
-0.097,0.979,0.122,-5.432,0.793,-1.221,0
-0.099,0.982,0.123,-3.723,0.793,-0.916,0
-0.090,0.975,0.125,-1.953,1.099,-1.160,0
-0.081,0.976,0.120,-1.770,1.038,-1.160,0
-0.075,0.978,0.119,-3.235,1.099,-1.160,0
-0.079,0.985,0.117,-2.747,1.160,-0.916,0
-0.086,0.982,0.113,-0.977,1.343,-0.977,0
-0.081,0.975,0.108,0.122,1.648,-0.305,0
-0.083,0.981,0.116,-0.183,1.587,-0.122,0
-0.083,0.978,0.117,-1.953,1.343,0.000,0
-0.092,0.980,0.125,-2.136,1.099,0.610,0
-0.094,0.979,0.118,-0.488,0.854,1.099,0
-0.089,0.976,0.112,1.099,0.427,1.343,0
-0.089,0.978,0.116,1.038,0.183,1.831,0
-0.099,0.975,0.117,-0.305,0.122,2.014,0
-0.100,0.974,0.114,-3.784,-0.488,2.075,0
-0.098,0.976,0.110,-5.188,-0.549,2.258,0
-0.085,0.974,0.103,-3.540,-0.671,2.502,0
-0.083,0.975,0.106,-1.892,-0.488,2.625,0
-0.099,0.979,0.118,-2.563,-0.427,2.625,0
-0.099,0.979,0.122,-4.578,-0.427,2.441,0
-0.098,0.979,0.119,-6.470,-0.671,2.380,0
-0.095,0.987,0.109,-6.531,-0.366,1.953,0
-0.088,0.985,0.110,-3.906,-0.183,1.770,0
-0.085,0.985,0.107,-2.197,0.061,1.709,0
-0.084,0.988,0.106,-3.174,0.488,1.526,0
-0.096,0.984,0.108,-5.310,0.671,1.404,0
-0.094,0.988,0.096,-2.930,0.977,1.099,0
-0.094,0.990,0.103,0.977,1.160,0.610,0
-0.109,0.991,0.099,2.380,1.404,0.610,0
-0.099,0.991,0.103,-0.488,1.221,0.488,0
-0.103,0.992,0.108,-2.319,1.465,0.488,0
-0.094,0.984,0.109,-0.793,1.526,0.427,0
-0.101,0.976,0.107,0.061,1.587,0.000,0
-0.105,0.976,0.115,-1.221,1.343,-0.488,0
-0.107,0.986,0.117,-2.319,0.793,-0.916,0
-0.111,0.984,0.098,-0.977,0.671,-0.549,0
-0.103,0.985,0.095,-0.610,0.793,-0.671,0
-0.092,0.988,0.094,0.061,0.610,-0.793,0
-0.090,0.984,0.096,0.122,0.610,-0.916,0
-0.091,0.985,0.101,0.000,0.549,-0.488,0
-0.100,0.977,0.101,-0.061,0.305,-1.038,0
-0.099,0.978,0.099,0.854,0.000,-1.099,0
-0.094,0.985,0.098,1.160,-0.061,-0.488,0
-0.093,0.986,0.097,1.953,-0.122,-0.305,0
-0.096,0.990,0.097,1.465,-0.366,-0.244,0
