ax,ay,az,gx,gy,gz,label
-0.845,0.562,-0.382,-71.594,6.592,-3.662,1
-0.920,0.672,-0.358,-71.289,7.141,-5.493,1
-0.946,0.746,-0.345,-36.865,8.057,-5.859,1
-1.059,0.776,-0.406,-4.089,8.728,-7.080,1
-1.025,0.803,-0.424,10.376,7.751,-9.338,1
-1.064,0.813,-0.433,13.489,5.676,-13.489,1
-1.048,0.812,-0.449,22.156,3.967,-19.470,1
-0.949,0.763,-0.486,13.184,3.967,-25.330,1
-0.916,0.717,-0.517,-26.123,5.310,-33.142,1
-0.903,0.719,-0.538,-67.749,5.554,-41.138,1
-0.885,0.746,-0.553,-95.825,4.333,-48.767,1
-0.877,0.789,-0.532,-88.257,1.953,-55.664,1
-0.905,0.812,-0.542,-49.927,-1.221,-61.157,1
-0.954,0.811,-0.546,-13.794,-5.676,-67.078,1
-0.996,0.812,-0.563,5.310,-11.414,-74.158,1
-1.014,0.838,-0.544,5.188,-16.663,-82.947,1
-0.988,0.879,-0.509,5.066,-20.935,-93.933,1
-0.988,0.913,-0.462,2.441,-22.827,-105.530,1
-1.113,0.972,-0.392,-11.963,-24.536,-114.685,1
-1.050,0.919,-0.393,-41.077,-29.175,-128.723,1
-1.154,0.966,-0.246,-23.376,-33.203,-138.855,1
-1.278,0.986,-0.212,28.137,-34.790,-147.400,1
-1.315,0.955,-0.226,67.322,-33.813,-156.494,1
-1.385,0.879,-0.284,66.589,-31.067,-165.588,1
-1.367,0.872,-0.249,67.566,-27.100,-176.208,1
-1.368,0.803,-0.238,78.857,-19.287,-185.364,1
-1.362,0.744,-0.244,82.520,-10.498,-191.956,1
-1.301,0.677,-0.248,84.045,2.686,-199.219,1
-1.335,0.600,-0.251,66.772,15.320,-204.895,1
-1.346,0.563,-0.207,54.077,26.550,-209.473,1
-1.311,0.492,-0.162,55.908,36.560,-212.952,1
-1.242,0.372,-0.146,39.673,44.312,-215.881,1
-1.164,0.319,-0.125,13.062,48.706,-217.102,1
-0.995,0.260,-0.073,-1.160,52.307,-217.773,1
-0.465,0.424,-0.727,-5.676,63.110,-212.769,1
0.201,0.312,-0.468,-66.528,66.528,-208.069,1
-0.102,0.230,-0.363,-61.646,64.514,-208.557,1
-0.214,0.414,-0.242,37.842,67.932,-198.547,1
-0.173,0.714,-0.033,152.527,73.547,-179.810,1
-0.369,0.741,-0.250,247.437,85.388,-154.724,1
0.014,0.562,-0.125,240.356,97.351,-133.362,1
0.421,0.439,-0.099,127.258,96.130,-116.760,1
0.327,0.631,-0.100,16.785,91.919,-99.365,1
0.798,0.834,-0.321,-60.181,92.407,-75.989,1
1.853,0.676,-0.224,-193.054,91.736,-52.979,1
1.919,0.126,0.119,-287.720,81.726,-61.707,1
0.828,0.790,0.200,-144.897,66.895,-84.900,1
-0.010,0.959,-0.119,54.504,67.932,-80.505,1
-0.348,0.894,-0.147,147.217,61.951,-72.449,1
0.245,0.775,-0.283,86.731,55.969,-71.289,1
0.175,0.826,-0.317,88.806,53.345,-76.416,1
0.174,0.763,-0.372,56.458,50.781,-83.740,1
0.186,0.814,-0.333,-56.580,42.725,-90.271,1
0.186,0.878,-0.384,-85.327,33.875,-94.971,1
0.217,0.993,-0.394,-31.677,28.992,-96.741,1
0.362,1.024,-0.402,60.303,28.687,-93.384,1
0.531,0.919,-0.502,111.694,32.227,-89.050,1
0.541,0.810,-0.585,79.346,34.485,-84.412,1
