ax,ay,az,gx,gy,gz,label
-0.875,0.406,-0.425,-26.917,26.062,-16.235,1
-1.365,0.509,0.264,-16.541,31.494,-14.160,1
-1.253,0.707,0.162,3.174,37.354,-13.489,1
-1.240,0.864,0.096,34.668,41.199,-16.724,1
-1.373,0.906,0.037,24.475,43.823,-25.452,1
-1.406,0.910,0.049,-10.193,48.096,-39.734,1
-1.393,0.984,0.018,-24.597,54.138,-55.420,1
-1.445,1.027,0.039,-39.368,61.768,-73.730,1
-1.484,1.070,0.035,-54.626,69.519,-90.820,1
-1.468,1.068,0.032,-82.458,77.820,-106.018,1
-1.457,1.041,0.021,-98.877,82.764,-117.798,1
-1.392,0.983,0.012,-103.577,84.595,-127.808,1
-1.362,0.924,0.002,-96.924,82.581,-135.437,1
-1.230,0.842,0.032,-72.021,80.688,-139.160,1
-1.122,0.819,0.025,-37.415,81.360,-139.465,1
-1.039,0.798,0.034,-2.197,82.275,-139.465,1
-0.895,0.761,0.000,17.883,84.900,-138.062,1
-0.851,0.728,-0.017,2.197,85.449,-136.780,1
-0.723,0.731,-0.030,-41.687,83.313,-137.268,1
-0.658,0.820,-0.012,-66.895,77.942,-140.015,1
-0.618,0.905,-0.012,-45.471,72.449,-144.348,1
-0.611,0.937,-0.032,-16.968,67.261,-146.606,1
-0.586,0.929,-0.068,-8.545,62.012,-148.315,1
-0.587,0.920,-0.080,-19.897,56.458,-150.391,1
-0.571,0.930,-0.081,-40.222,49.683,-152.710,1
-0.592,0.998,-0.044,-35.889,43.579,-154.297,1
-0.542,1.031,-0.035,-3.357,40.833,-153.992,1
-0.518,0.981,-0.041,-0.061,39.734,-153.992,1
-0.501,0.974,-0.042,-42.297,36.438,-156.494,1
-0.576,1.067,-0.002,-68.420,31.372,-161.133,1
-0.577,1.178,0.035,-30.579,29.053,-165.100,1
-0.574,1.156,0.028,6.592,29.846,-170.349,1
-0.474,1.104,0.009,-10.681,30.579,-177.551,1
-0.441,1.131,0.030,-47.302,29.297,-185.242,1
-0.472,1.194,0.063,-36.865,27.100,-191.528,1
-0.493,1.178,0.044,-15.991,27.161,-197.510,1
-0.441,1.392,-0.575,-27.527,34.302,-201.294,1
-0.489,1.151,-0.303,-38.757,36.316,-211.243,1
-0.423,1.012,-0.194,-68.359,37.598,-218.567,1
-0.435,0.946,-0.083,-84.534,34.485,-223.877,1
-0.356,0.818,-0.051,-99.792,26.978,-227.661,1
-0.352,0.734,-0.056,-118.286,16.602,-227.966,1
-0.323,0.667,-0.058,-125.977,5.066,-225.708,1
-0.275,0.628,-0.107,-115.723,-4.395,-221.313,1
-0.133,0.622,-0.132,-94.299,-10.376,-213.989,1
0.035,0.598,-0.144,-68.176,-14.038,-205.383,1
0.087,0.564,-0.185,-40.466,-15.015,-197.144,1
0.149,0.516,-0.250,-24.414,-13.306,-188.538,1
0.227,0.426,-0.227,-33.630,-13.794,-181.030,1
0.323,0.379,-0.239,-47.852,-16.296,-174.499,1
0.430,0.395,-0.277,-69.763,-20.935,-166.931,1
0.505,0.414,-0.243,-91.431,-25.574,-155.518,1
0.597,0.471,-0.281,-88.013,-29.053,-145.447,1
0.692,0.531,-0.337,-54.077,-31.921,-133.240,1
0.642,0.519,-0.357,14.282,-35.095,-124.268,1
0.640,0.500,-0.412,100.891,-36.072,-117.737,1
0.599,0.379,-0.427,149.963,-36.377,-114.136,1
0.629,0.289,-0.557,125.183,-36.682,-111.328,1
0.663,0.220,-0.537,56.519,-40.833,-109.375,1
0.699,0.288,-0.499,41.504,-45.715,-106.873,1
0.679,0.277,-0.432,79.407,-50.598,-104.797,1
0.666,0.245,-0.429,113.220,-52.246,-102.478,1
