ax,ay,az,gx,gy,gz,label
-0.539,0.953,0.046,-45.837,44.250,19.409,2
-0.535,0.922,0.065,-16.968,47.913,20.569,2
-0.544,0.896,0.096,-6.775,51.331,19.714,2
-0.622,0.945,0.122,10.193,55.786,17.517,2
-0.680,0.996,0.145,44.189,60.974,14.893,2
-0.637,0.970,0.157,56.213,67.383,12.451,2
-0.629,0.954,0.163,35.034,73.608,9.827,2
-0.682,0.987,0.198,9.888,80.627,6.470,2
-0.691,1.071,0.247,10.803,87.341,3.235,2
-0.781,1.101,0.264,16.479,92.957,0.000,2
-0.870,1.125,0.276,21.301,95.886,-3.845,2
-1.014,1.139,0.247,15.747,96.619,-7.751,2
-1.051,1.124,0.276,-23.132,95.825,-15.076,2
-1.064,1.171,0.294,-13.794,95.093,-23.560,2
-1.037,1.138,0.283,0.122,93.933,-31.677,2
-1.051,1.093,0.264,-17.456,94.482,-41.504,2
-1.042,1.104,0.276,-38.940,95.642,-53.223,2
-0.915,1.049,0.272,-60.852,96.497,-64.087,2
-0.772,1.038,0.281,-65.002,95.032,-72.266,2
-0.679,1.008,0.249,-47.485,92.896,-77.576,2
-0.629,0.969,0.221,-65.186,89.294,-81.421,2
-0.636,0.996,0.223,-79.895,84.900,-85.266,2
-0.651,1.049,0.210,-74.585,80.200,-86.731,2
-0.617,1.081,0.210,-54.932,75.256,-84.534,2
-0.513,1.064,0.185,-43.579,73.608,-80.444,2
-0.479,1.069,0.186,-83.862,72.815,-80.505,2
-0.505,1.162,0.229,-110.596,74.402,-85.144,2
-0.476,1.256,0.245,-96.130,78.674,-93.567,2
-0.380,1.189,0.304,-85.266,82.825,-101.440,2
-0.330,1.158,0.304,-81.055,86.975,-111.328,2
-0.273,1.129,0.332,-71.350,93.140,-123.901,2
-0.276,1.106,0.354,-52.124,98.328,-133.606,2
-0.214,1.084,0.381,-7.935,102.844,-137.817,2
-0.157,1.010,0.345,28.076,107.727,-137.146,2
-0.150,0.932,0.320,9.949,112.610,-135.010,2
-0.135,0.914,0.317,6.409,115.356,-132.080,2
-0.045,0.862,0.281,35.706,117.432,-125.549,2
0.054,0.771,0.229,50.537,117.615,-115.967,2
0.092,0.723,0.198,56.946,117.554,-107.239,2
0.079,0.660,0.163,76.172,118.469,-96.863,2
0.046,0.568,0.115,86.609,119.812,-87.402,2
0.042,0.462,0.070,79.163,119.995,-78.491,2
0.062,0.396,0.018,71.350,118.347,-70.435,2
0.091,0.290,-0.009,56.641,116.211,-62.744,2
