ax,ay,az,gx,gy,gz,label
-0.726,-0.278,1.436,62.683,-21.973,-160.706,2
-0.589,-0.228,1.046,62.805,-8.972,-144.958,2
-0.467,-0.142,0.748,82.458,1.648,-128.845,2
-0.395,-0.097,0.599,116.333,9.216,-112.671,2
-0.250,-0.095,0.545,137.939,11.658,-98.694,2
-0.049,-0.181,0.536,138.733,11.597,-86.609,2
0.168,-0.169,0.385,95.947,9.399,-71.472,2
0.275,-0.095,0.252,21.301,4.639,-54.687,2
0.249,-0.007,0.152,-40.222,0.549,-38.330,2
0.281,0.107,0.083,-95.154,-3.967,-16.357,2
0.187,0.180,0.172,-120.117,-9.460,3.296,2
0.157,0.279,0.305,-94.910,-15.747,22.583,2
0.137,0.372,0.350,-40.405,-21.118,38.757,2
0.015,0.377,0.323,6.653,-26.733,51.697,2
-0.147,0.411,0.264,15.015,-30.334,58.167,2
-0.368,0.416,0.225,-0.854,-32.776,62.195,2
-0.531,0.408,0.176,-66.956,-31.067,65.125,2
-0.310,0.498,0.250,-140.259,-26.184,67.383,2
-0.213,0.684,0.369,-126.404,-18.066,69.519,2
-0.390,0.801,0.431,-55.298,-10.559,71.289,2
-0.363,0.832,0.459,7.812,-6.470,72.449,2
-0.286,0.832,0.423,23.560,-5.798,73.853,2
-0.316,0.848,0.383,5.554,-6.165,76.294,2
-0.256,0.884,0.326,-29.968,-6.775,77.637,2
-0.221,0.844,0.338,-64.331,-6.592,77.942,2
-0.148,0.897,0.368,-86.792,-5.371,76.660,2
-0.158,0.990,0.418,-58.289,-1.892,73.547,2
-0.014,1.014,0.448,-7.629,1.648,69.702,2
-0.062,0.987,0.439,14.648,5.432,63.782,2
-0.267,0.952,0.414,-26.917,9.949,56.213,2
-0.638,1.020,0.397,-104.980,15.808,50.049,2
-0.792,1.125,0.455,-177.307,20.935,47.485,2
-0.721,1.198,0.583,-195.984,21.851,46.631,2
-0.623,1.223,0.648,-148.743,18.921,46.326,2
-0.729,1.189,0.618,-63.049,13.794,45.776,2
-0.712,1.063,0.526,4.272,8.545,44.922,2
-0.611,0.970,0.450,25.696,4.883,42.114,2
-0.569,0.922,0.358,26.306,3.296,40.161,2
-0.521,0.866,0.292,7.874,3.235,39.185,2
-0.508,0.864,0.255,-14.038,2.991,39.429,2
-0.438,0.856,0.250,-11.536,3.296,40.039,2
-0.405,0.832,0.227,14.221,3.174,41.931,2
-0.367,0.790,0.196,31.799,2.991,43.579,2
-0.365,0.713,0.118,24.414,2.747,44.006,2
-0.328,0.706,0.107,-4.150,2.869,41.931,2
-0.374,0.729,0.131,-30.701,3.906,38.391,2
-0.516,0.784,0.158,-35.156,4.822,35.522,2
-0.614,0.761,0.137,-20.264,6.348,34.546,2
-0.565,0.745,0.143,-8.667,7.507,34.485,2
-0.609,0.727,0.162,-15.930,6.958,34.729,2
-0.647,0.708,0.174,-33.142,5.493,34.424,2
-0.678,0.716,0.199,-41.443,3.540,33.691,2
-0.658,0.730,0.215,-27.161,2.136,33.630,2
-0.698,0.726,0.209,-5.005,1.587,34.241,2
-0.701,0.698,0.189,6.165,1.709,34.546,2
-0.652,0.659,0.176,-2.747,1.526,35.522,2
-0.640,0.654,0.171,-17.822,1.831,35.950,2
-0.646,0.649,0.173,-33.020,2.380,37.292,2
-0.625,0.669,0.194,-40.100,2.625,39.368,2
-0.668,0.673,0.197,-43.884,3.906,41.565,2
-0.695,0.665,0.163,-57.739,6.531,43.579,2
-0.752,0.707,0.225,-72.998,10.681,45.044,2
-0.777,0.734,0.238,-82.581,15.320,47.302,2
-0.760,0.759,0.268,-86.426,20.447,49.255,2
-0.835,0.763,0.248,-106.262,26.367,49.927,2
-0.828,0.809,0.322,-143.860,33.447,48.096,2
-0.941,0.784,0.319,-153.748,41.687,46.143,2
-0.771,0.968,0.398,-126.160,48.767,45.471,2
-0.851,1.005,0.533,-108.521,54.565,43.518,2
-0.834,0.966,0.631,-94.543,62.683,40.833,2
-0.800,0.907,0.693,-112.549,71.594,34.851,2
-0.858,0.910,0.764,-155.029,82.764,23.071,2
-0.888,1.013,0.852,-180.969,95.215,8.911,2
-0.955,1.132,0.922,-173.706,108.215,-3.479,2
-0.981,1.170,0.943,-161.377,122.925,-15.686,2
-1.075,1.196,0.968,-154.236,138.245,-28.748,2
-1.149,1.168,1.018,-154.358,152.649,-43.640,2
-1.211,1.159,1.049,-150.024,165.466,-59.509,2
-1.272,1.131,1.067,-133.240,177.734,-77.393,2
-1.351,1.107,1.059,-107.788,188.965,-93.384,2
-1.462,1.050,1.057,-83.862,199.402,-107.117,2
-1.493,0.979,1.027,-65.918,208.984,-117.676,2
-1.551,0.923,1.009,-55.176,216.980,-125.427,2
-1.575,0.874,0.962,-37.964,224.548,-130.798,2
-1.572,0.815,0.904,-38.391,231.995,-134.644,2
-1.597,0.796,0.871,-37.354,238.525,-138.367,2
-1.569,0.771,0.853,-30.518,243.286,-140.869,2
-1.584,0.737,0.831,-26.978,246.521,-142.700,2
-1.523,0.722,0.805,-26.184,248.718,-144.104,2
-1.474,0.714,0.779,-19.348,249.756,-144.592,2
-1.398,0.684,0.738,-16.968,248.901,-143.799,2
-1.339,0.659,0.715,-33.020,246.033,-143.433,2
-1.268,0.684,0.686,-27.832,242.187,-142.944,2
-1.156,0.710,0.657,15.808,240.112,-139.832,2
-1.069,0.683,0.599,53.162,239.136,-134.460,2
-0.984,0.647,0.573,61.462,237.671,-130.127,2
-0.895,0.628,0.542,39.429,235.352,-127.747,2
-0.744,0.702,0.567,13.489,231.323,-127.136,2
-0.646,0.845,0.643,17.517,225.220,-126.038,2
-0.481,0.986,0.706,69.275,219.910,-121.826,2
-0.418,1.009,0.669,107.727,217.163,-116.760,2
-0.376,0.952,0.612,95.215,216.309,-116.943,2
-0.368,0.948,0.571,52.734,216.492,-122.009,2
-0.294,0.946,0.550,36.194,216.736,-130.432,2
-0.175,0.880,0.490,43.152,217.102,-138.245,2
-0.077,0.752,0.368,38.391,217.346,-143.250,2
-0.035,0.643,0.271,7.874,217.163,-145.752,2
-0.038,0.568,0.184,-27.771,216.614,-146.179,2
-0.107,0.482,0.096,-57.739,215.942,-145.630,2
-0.653,1.428,0.320,-64.453,217.834,-138.306,2
-0.228,0.234,0.088,-71.472,221.863,-141.418,2
-0.589,-0.279,-0.307,-88.379,225.647,-140.259,2
-1.382,-0.084,-0.574,-117.554,233.032,-135.803,2
-1.415,-0.069,-0.976,-159.119,247.375,-134.644,2
-1.638,0.380,-1.008,-162.048,276.245,-129.028,2
-1.867,0.312,-0.878,-237.305,281.555,-109.253,2
-1.382,-0.007,-0.527,-204.163,277.100,-87.769,2
-1.214,0.056,-0.607,-0.366,271.484,-55.664,2
-1.117,-0.375,-0.875,95.947,246.765,-9.338,2
-1.124,-0.525,-1.560,-64.392,210.205,36.438,2
-1.255,-0.278,-1.718,-140.198,167.664,91.614,2
-1.345,-0.473,-1.898,-89.905,117.554,153.442,2
-1.355,-0.642,-1.981,-103.210,49.011,221.008,2
-1.536,-0.670,-2.028,-12.329,-25.330,292.969,2
-1.995,-0.859,-2.125,63.049,-128.723,371.033,2
-2.636,-0.827,-2.011,162.292,-252.258,444.031,2
-3.357,-0.687,-1.830,218.323,-391.235,504.822,2
-4.500,-0.391,-1.445,282.837,-533.875,548.157,2
-5.859,-0.103,-0.961,314.941,-668.335,565.735,2
-7.310,0.182,-0.446,332.092,-777.954,560.913,2
-7.998,0.520,0.020,350.891,-872.742,536.865,2
-8.000,0.777,0.723,407.898,-949.524,488.647,2
-8.000,0.967,1.120,478.516,-1026.001,402.222,2
-4.826,0.353,0.142,-1816.223,-625.610,312.805,2
-7.995,3.118,-7.733,773.193,-543.701,604.187,2
-7.978,4.369,-8.000,1581.604,-738.525,385.498,2
-7.990,4.070,-8.000,1209.106,-807.190,39.978,2
-6.954,2.520,-6.853,615.540,-752.930,-137.512,2
-7.051,1.530,-3.379,523.865,-639.587,-236.450,2
-5.293,0.888,-1.486,571.350,-515.198,-303.650,2
-4.378,0.121,1.312,587.769,-401.184,-344.971,2
-3.984,-0.606,3.155,509.888,-279.114,-360.962,2
-3.294,-0.795,2.761,406.433,-194.885,-355.774,2
-2.567,-0.809,2.245,312.256,-122.192,-331.421,2
-1.619,-0.913,1.999,275.208,-64.331,-296.936,2
-1.240,-1.012,2.001,246.765,-22.644,-259.338,2
-1.045,-0.933,1.603,192.566,4.333,-224.487,2
-0.707,-0.893,1.285,145.081,27.222,-187.805,2
-0.432,-0.746,0.963,76.233,38.086,-157.532,2
-0.294,-0.576,0.687,33.386,42.175,-129.211,2
-0.286,-0.629,0.701,-11.841,37.109,-108.154,2
-0.828,-0.516,0.867,-55.847,25.513,-90.210,2
-0.917,-0.402,0.917,1.953,10.803,-68.176,2
-0.664,-0.468,0.730,46.875,-2.075,-47.974,2
-0.260,-0.367,0.478,53.040,-11.414,-22.339,2
-0.058,-0.494,0.418,5.798,-18.127,-0.366,2
-0.094,-0.218,0.350,-29.907,-21.301,24.292,2
0.116,-0.140,0.263,-32.593,-20.874,44.556,2
-0.045,-0.091,0.278,-83.435,-23.926,59.814,2
-0.193,0.013,0.240,-136.658,-25.391,74.463,2
-0.276,0.049,0.262,-160.950,-26.245,89.294,2
-0.285,0.204,0.201,-176.575,-23.193,102.966,2
-0.395,0.228,0.155,-201.050,-17.944,117.004,2
-0.443,0.316,0.213,-211.487,-10.986,129.028,2
-0.383,0.473,0.211,-176.697,-2.991,138.550,2
-0.461,0.535,0.231,-144.043,2.625,147.339,2
-0.643,0.533,0.259,-117.737,7.629,154.907,2
-0.790,0.662,0.255,-99.731,11.292,161.926,2
-0.982,0.773,0.264,-76.843,14.465,166.443,2
-1.033,0.809,0.262,-37.842,17.578,167.297,2
-0.939,0.810,0.264,-11.597,19.836,166.077,2
-1.005,0.779,0.227,-35.217,20.447,160.583,2
-1.060,0.799,0.205,-90.576,21.851,153.687,2
-1.016,0.921,0.234,-133.240,25.940,144.653,2
-1.040,0.985,0.241,-126.831,32.837,135.681,2
-0.995,0.933,0.231,-106.750,39.673,126.404,2
-0.926,0.960,0.237,-101.318,45.349,115.967,2
-0.891,0.921,0.201,-115.051,49.500,107.422,2
-0.946,0.929,0.171,-149.353,54.993,96.680,2
-0.871,0.975,0.187,-169.495,59.937,87.280,2
-0.863,0.996,0.171,-169.678,63.293,78.247,2
-0.909,0.955,0.119,-147.949,66.284,67.871,2
-0.897,0.928,0.089,-141.357,67.261,59.998,2
-0.826,0.993,0.066,-145.874,67.017,53.101,2
-0.803,0.948,0.020,-139.221,67.322,47.852,2
-0.798,0.898,-0.014,-128.296,67.200,42.053,2
-0.779,0.909,-0.055,-114.380,65.857,36.133,2
-0.802,0.916,-0.052,-108.154,63.354,29.785,2
-0.844,0.902,-0.093,-115.356,60.608,24.475,2
-0.774,0.854,-0.128,-133.789,59.082,19.287,2
-0.739,0.854,-0.155,-159.668,58.777,15.320,2
-0.743,0.846,-0.163,-167.236,59.326,11.353,2
-0.791,0.811,-0.183,-152.405,59.875,6.653,2
-0.798,0.764,-0.187,-145.813,59.204,1.221,2
-0.817,0.680,-0.254,-144.653,58.411,-4.700,2
-0.825,0.556,-0.276,-165.588,56.885,-7.996,2
-0.764,0.483,-0.251,-189.697,53.955,-7.568,2
-0.741,0.503,-0.131,-183.899,49.683,-2.625,2
-0.743,0.481,-0.108,-136.719,45.715,5.737,2
-0.679,0.464,-0.080,-70.129,41.992,18.311,2
-0.593,0.495,-0.100,-16.357,38.330,37.109,2
-0.623,0.458,-0.150,-1.343,34.607,56.519,2
-0.735,0.421,-0.169,-18.494,29.663,71.167,2
-0.788,0.433,-0.146,-35.522,24.536,79.651,2
-0.855,0.477,-0.117,-37.231,20.691,81.299,2
-0.912,0.531,-0.102,-42.297,18.677,78.491,2
-0.880,0.605,-0.065,-60.181,19.592,73.120,2
-0.811,0.664,-0.030,-75.989,23.926,65.308,2
-0.832,0.697,0.008,-99.060,31.006,54.932,2
-0.861,0.711,0.035,-152.771,39.795,43.762,2
-0.862,0.783,0.115,-221.619,49.561,31.860,2
-0.885,0.913,0.204,-271.729,58.594,21.118,2
-0.818,1.026,0.327,-282.776,67.810,9.094,2
-0.791,1.109,0.443,-287.781,75.867,-4.211,2
-0.953,1.201,0.532,-275.024,82.947,-17.883,2
-0.983,1.295,0.595,-237.366,91.858,-32.959,2
-0.969,1.329,0.658,-203.186,101.196,-49.927,2
-0.994,1.323,0.694,-199.463,108.459,-68.176,2
-1.078,1.344,0.710,-204.285,114.380,-87.769,2
-1.156,1.340,0.734,-206.970,118.225,-106.934,2
-1.155,1.312,0.776,-197.021,119.934,-125.061,2
-1.299,1.265,0.808,-182.251,118.835,-141.296,2
-1.346,1.194,0.837,-164.246,116.943,-154.236,2
-1.397,1.111,0.870,-150.940,116.943,-163.940,2
-1.453,1.029,0.866,-155.396,118.713,-171.631,2
-1.580,0.924,0.797,-228.760,121.033,-180.359,2
-1.630,0.905,0.771,-354.126,120.178,-192.749,2
-1.589,1.064,0.825,-414.856,117.187,-207.886,2
-1.608,1.218,0.895,-327.637,115.417,-220.581,2
-1.804,1.226,0.926,-176.270,115.967,-229.492,2
-1.869,1.151,0.848,-54.932,118.835,-232.544,2
-1.863,1.023,0.733,44.189,125.366,-229.919,2
-1.875,0.862,0.582,35.461,133.240,-226.135,2
-1.754,0.821,0.479,-22.156,140.015,-225.647,2
-1.686,0.873,0.479,-39.795,144.470,-227.783,2
-1.662,0.914,0.474,31.982,150.085,-228.271,2
-1.578,0.840,0.387,112.305,158.813,-224.243,2
-1.555,0.759,0.276,138.245,169.373,-219.116,2
-1.477,0.727,0.202,131.348,178.589,-215.210,2
-1.397,0.720,0.174,92.957,185.181,-214.661,2
-1.312,0.761,0.184,48.279,184.265,-218.018,2
-1.230,0.876,0.237,26.794,178.589,-221.130,2
-1.120,0.975,0.253,31.982,171.082,-222.961,2
-0.997,1.003,0.245,43.030,164.612,-223.694,2
-0.851,0.986,0.195,65.857,158.936,-225.220,2
-0.713,0.923,0.137,80.627,156.738,-227.173,2
-0.583,0.856,0.098,97.900,156.982,-227.112,2
-0.432,0.738,0.062,98.755,158.325,-223.572,2
-0.262,0.602,0.017,81.482,160.706,-216.370,2
-0.146,0.440,-0.031,61.096,163.025,-210.022,2
-0.287,0.200,-0.165,27.588,166.870,-204.834,2
-0.204,0.021,-0.353,-28.931,171.448,-196.289,2
-0.180,-0.085,-0.408,-104.797,170.349,-194.946,2
-0.446,0.221,-0.289,-159.729,167.725,-197.144,2
-0.759,0.367,-0.392,-128.540,172.363,-197.571,2
-0.814,-0.129,-0.809,-123.291,182.922,-190.857,2
-0.957,0.151,-1.139,-190.979,201.172,-182.861,2
-1.074,0.062,-0.961,-294.739,209.656,-171.753,2
-0.894,-0.118,-0.805,-282.715,208.862,-159.912,2
-0.865,-0.111,-0.536,-109.131,207.275,-140.564,2
-0.660,-0.269,-0.475,92.468,205.322,-101.379,2
-0.548,-0.604,-0.745,44.678,190.186,-57.922,2
-0.555,-0.746,-1.135,-131.226,166.443,-12.329,2
-0.832,-0.784,-1.550,-120.239,142.090,46.143,2
-0.813,-1.025,-1.500,-90.881,109.131,120.789,2
-1.042,-1.174,-1.536,-44.373,72.510,191.650,2
-1.352,-1.282,-1.674,1.526,30.701,260.376,2
-1.807,-1.151,-1.648,38.757,-31.433,342.712,2
-2.303,-0.866,-1.601,95.520,-113.708,429.138,2
-3.029,-0.602,-1.477,155.579,-200.134,497.131,2
-3.975,-0.331,-1.344,200.562,-314.209,564.453,2
-4.937,-0.100,-1.239,214.233,-425.354,612.366,2
-6.119,0.241,-1.020,249.207,-539.062,642.883,2
-7.731,0.321,-0.758,339.661,-662.781,639.221,2
-8.000,0.647,-0.374,465.698,-793.518,594.788,2
-8.000,0.884,0.245,678.406,-953.857,476.257,2
-8.000,1.243,0.787,925.781,-1090.332,277.039,2
-3.743,-0.140,-4.299,179.077,-906.311,-8.301,2
-6.279,2.860,7.789,679.260,-1093.079,-162.109,2
-7.939,2.651,7.838,1108.826,-997.986,-421.509,2
-8.000,-1.049,7.041,992.187,-805.176,-638.550,2
-8.000,-1.503,7.220,554.749,-605.774,-725.403,2
-6.969,-0.966,7.005,263.672,-469.055,-716.492,2
-5.753,-0.636,6.540,179.199,-376.160,-669.067,2
-5.004,-0.607,5.373,347.046,-273.499,-625.793,2
-4.834,-0.558,2.968,496.460,-156.494,-596.008,2
-4.220,-0.961,2.494,402.710,-52.673,-557.190,2
-3.211,-1.142,2.285,245.544,6.775,-511.291,2
-2.367,-1.158,1.898,205.505,42.480,-458.862,2
-1.752,-1.282,1.679,196.350,68.176,-402.893,2
-1.635,-1.321,1.228,181.641,88.501,-350.830,2
-1.509,-1.262,1.094,161.621,102.112,-298.462,2
-1.361,-1.230,0.838,158.630,108.826,-249.695,2
-1.323,-0.978,0.670,200.806,111.328,-198.791,2
-1.521,-0.889,0.557,205.383,113.281,-147.278,2
-1.122,-0.990,0.399,124.207,113.403,-101.746,2
-0.555,-1.038,0.260,-14.648,105.957,-58.716,2
-0.173,-1.048,0.253,-30.090,97.778,-22.705,2
0.226,-1.003,0.144,11.536,91.797,9.277,2
0.289,-0.938,0.019,-1.526,85.876,33.142,2
0.092,-0.734,0.033,-8.667,79.651,55.542,2
-0.009,-0.638,0.012,-26.062,74.585,73.303,2
-0.015,-0.448,0.074,-50.354,68.298,88.135,2
0.119,-0.409,0.102,-56.885,61.829,101.868,2
0.250,-0.351,0.196,-73.975,54.199,114.014,2
0.315,-0.246,0.241,-100.159,46.814,125.366,2
0.279,-0.202,0.283,-129.395,39.368,137.573,2
0.219,-0.196,0.294,-168.579,33.630,146.301,2
0.140,-0.128,0.367,-193.787,28.687,153.076,2
0.073,-0.004,0.369,-190.247,24.597,162.048,2
0.099,0.123,0.403,-164.978,19.897,174.072,2
0.096,0.179,0.452,-140.930,12.878,187.988,2
0.039,0.191,0.462,-126.404,4.517,200.928,2
-0.031,0.187,0.422,-128.174,-2.441,214.294,2
-0.136,0.225,0.370,-150.085,-6.470,228.333,2
-0.233,0.274,0.341,-173.889,-6.592,244.263,2
-0.463,0.211,0.318,-184.753,-2.869,255.554,2
-0.691,0.278,0.339,-171.509,2.014,263.367,2
-0.983,0.433,0.250,-152.283,9.888,272.095,2
-1.209,0.559,0.281,-137.024,17.578,279.663,2
-1.296,0.620,0.243,-142.761,24.902,286.316,2
-1.430,0.787,0.204,-174.499,33.997,289.917,2
-1.608,0.890,0.221,-213.562,47.119,287.354,2
-1.671,1.049,0.240,-210.693,61.523,278.564,2
-1.759,1.097,0.245,-176.758,74.219,269.043,2
-1.728,1.019,0.226,-154.968,85.815,260.254,2
-1.683,1.079,0.216,-157.043,94.849,249.023,2
-1.743,1.001,0.169,-178.223,104.065,234.192,2
-1.889,0.956,0.140,-195.984,113.953,216.003,2
-1.777,0.908,0.149,-203.796,123.169,196.228,2
-1.547,0.901,0.135,-191.956,131.592,175.415,2
-1.358,0.883,0.083,-186.829,137.878,156.982,2
-1.441,0.875,0.001,-176.941,143.860,141.602,2
-1.469,0.953,-0.009,-146.240,148.254,128.052,2
-1.455,0.823,-0.006,-128.113,148.865,115.845,2
-1.366,0.753,-0.076,-131.592,146.973,103.760,2
-1.164,0.742,-0.135,-134.521,145.691,92.407,2
-1.112,0.807,-0.171,-137.756,144.836,82.336,2
-1.054,0.784,-0.208,-135.315,144.409,73.547,2
-1.090,0.712,-0.223,-132.202,143.127,67.139,2
-1.095,0.713,-0.260,-138.367,141.724,62.561,2
-1.095,0.686,-0.261,-150.635,140.076,57.312,2
-1.116,0.651,-0.246,-162.598,136.658,51.880,2
-1.113,0.688,-0.220,-172.058,132.629,48.950,2
-1.093,0.687,-0.226,-132.568,130.005,47.668,2
-1.102,0.621,-0.233,-83.984,127.136,45.105,2
-1.021,0.536,-0.237,-76.172,121.704,41.016,2
-0.965,0.476,-0.221,-111.450,114.441,35.950,2
-1.005,0.428,-0.202,-168.457,106.567,28.931,2
-0.983,0.434,-0.156,-226.624,98.816,22.400,2
-1.163,0.468,-0.120,-268.982,90.820,17.395,2
-0.896,0.441,-0.109,-283.142,85.693,13.184,2
-0.524,0.398,-0.061,-304.810,81.970,7.507,2
-0.696,0.371,0.036,-339.172,78.186,-1.160,2
-0.811,0.485,0.121,-312.805,75.073,-10.681,2
-1.076,0.591,0.162,-225.159,74.158,-16.541,2
-1.037,0.574,0.168,-178.589,74.951,-19.165,2
-0.972,0.566,0.197,-198.059,75.745,-21.667,2
-0.991,0.603,0.260,-239.563,76.172,-26.367,2
-0.984,0.723,0.375,-235.962,75.439,-33.386,2
-1.017,0.838,0.480,-171.326,74.829,-40.466,2
-1.006,0.876,0.512,-94.910,75.500,-45.776,2
-1.090,0.851,0.491,-66.284,79.773,-51.697,2
-1.052,0.825,0.502,-90.332,86.975,-62.561,2
-1.038,0.876,0.548,-118.347,94.543,-75.317,2
-1.182,0.944,0.578,-114.929,101.624,-88.013,2
-1.283,1.000,0.563,-93.811,108.582,-97.168,2
-1.281,1.000,0.566,-75.806,114.990,-104.126,2
-1.294,0.977,0.560,-63.599,120.483,-110.168,2
-1.271,0.954,0.539,-65.552,124.390,-115.173,2
-1.224,0.946,0.524,-74.097,127.747,-121.399,2
-1.196,0.967,0.521,-69.214,129.456,-125.854,2
-1.243,0.985,0.492,-52.124,131.042,-129.761,2
-1.203,0.947,0.452,-47.913,133.057,-134.155,2
