ax,ay,az,gx,gy,gz,label
-0.900,0.630,-0.225,-22.705,10.620,-0.549,2
-0.904,0.648,-0.227,-24.841,11.536,-2.380,2
-0.905,0.667,-0.225,-29.541,12.268,-5.127,2
-0.880,0.688,-0.210,-30.518,12.573,-8.667,2
-0.887,0.708,-0.199,-11.169,13.123,-13.184,2
-0.867,0.716,-0.190,3.479,13.428,-17.578,2
-0.854,0.729,-0.181,5.859,14.526,-22.583,2
-0.800,0.764,-0.160,4.395,15.625,-28.320,2
-0.774,0.841,-0.114,20.020,17.639,-34.790,2
-0.832,1.053,-0.039,69.214,18.982,-38.025,2
-1.061,1.217,-0.034,143.555,22.888,-43.152,2
-1.160,1.279,-0.010,183.594,30.884,-53.894,2
-1.205,1.236,0.019,170.837,43.152,-69.519,2
-1.281,1.158,0.111,136.047,57.922,-88.257,2
-1.377,1.078,0.130,68.604,74.158,-107.849,2
-1.398,0.992,0.119,-8.972,91.858,-127.075,2
-1.301,0.870,0.105,-73.242,109.741,-142.395,2
-1.178,0.742,0.090,-118.286,125.610,-153.625,2
-1.006,0.585,0.071,-133.728,135.376,-158.630,2
-0.828,0.406,0.049,-144.836,141.418,-159.180,2
-0.543,0.134,-0.002,-138.977,144.287,-157.349,2
-0.458,-0.098,0.024,-149.780,143.738,-159.790,2
-0.833,-0.013,0.000,-66.895,146.118,-163.757,2
-0.492,0.394,-0.045,-15.320,143.250,-145.386,2
-0.006,0.615,0.147,-7.446,133.484,-111.267,2
0.610,0.437,-0.001,-19.165,125.122,-77.271,2
0.483,0.647,0.067,-40.100,117.126,-40.710,2
-0.174,0.845,0.215,-85.083,98.389,1.892,2
-0.385,0.493,0.464,-31.799,75.562,20.752,2
-0.500,0.842,0.402,91.187,56.946,25.513,2
-0.610,0.986,0.272,197.510,48.584,30.151,2
-0.572,0.937,0.313,183.716,40.100,23.926,2
-0.696,1.047,0.391,115.723,35.706,9.094,2
-0.599,1.131,0.442,96.985,37.292,-4.211,2
-0.438,1.115,0.482,72.327,41.504,-18.066,2
-0.433,1.138,0.505,31.738,46.326,-29.236,2
-0.448,1.191,0.509,10.681,52.368,-38.330,2
-0.401,1.271,0.439,23.193,59.937,-43.701,2
-0.391,1.158,0.368,45.959,67.383,-46.326,2
-0.243,0.971,0.312,1.892,72.937,-49.805,2
-0.173,0.962,0.333,-36.499,77.759,-54.260,2
-0.153,0.966,0.362,-19.165,80.505,-56.641,2
-0.156,0.916,0.355,9.460,83.862,-59.326,2
-0.205,0.871,0.333,15.686,87.708,-62.500,2
-0.215,0.845,0.356,8.057,91.797,-66.040,2
-0.207,0.838,0.358,-0.793,95.154,-68.359,2
-0.178,0.880,0.370,-9.155,96.863,-68.542,2
-0.149,0.923,0.362,-5.676,97.778,-67.383,2
-0.142,0.928,0.340,-11.475,98.328,-66.833,2
-0.157,0.953,0.338,-17.883,98.633,-67.261,2
-0.137,0.963,0.342,-6.042,98.999,-67.383,2
