ax,ay,az,gx,gy,gz,label
-0.920,0.133,0.330,0.427,0.061,-0.061,0
-0.920,0.135,0.334,0.061,0.000,-0.061,0
-0.919,0.135,0.335,0.122,0.000,-0.183,0
-0.921,0.137,0.335,0.000,0.061,-0.244,0
-0.923,0.139,0.331,0.183,-0.244,-0.061,0
-0.918,0.138,0.333,0.183,-0.183,-0.183,0
-0.919,0.140,0.336,0.122,0.000,-0.183,0
-0.918,0.139,0.334,0.244,0.000,0.000,0
-0.920,0.141,0.332,0.000,0.061,0.061,0
-0.927,0.138,0.334,0.122,0.061,-0.122,0
-0.899,0.135,0.345,0.488,0.000,0.000,0
-0.946,0.137,0.330,-0.061,0.061,0.000,0
-0.911,0.139,0.318,-0.122,-0.183,-0.122,0
-0.919,0.133,0.360,0.122,0.000,-0.244,0
-0.915,0.138,0.337,-0.061,0.000,-0.244,0
-0.921,0.138,0.322,0.061,0.000,-0.183,0
-0.920,0.134,0.346,0.244,0.061,-0.061,0
-0.916,0.141,0.335,0.305,-0.122,0.000,0
-0.916,0.140,0.330,0.000,0.183,-0.244,0
-0.920,0.139,0.345,-0.122,-0.122,-0.244,0
-0.919,0.140,0.328,0.183,-0.061,-0.122,0
-0.920,0.141,0.331,0.061,0.061,-0.061,0
-0.917,0.139,0.342,0.000,0.000,0.000,0
-0.919,0.136,0.331,0.122,0.061,-0.122,0
-0.918,0.135,0.333,0.061,0.183,-0.061,0
-0.921,0.138,0.336,0.305,-0.122,-0.061,0
-0.919,0.137,0.332,0.122,-0.061,0.061,0
-0.919,0.140,0.334,0.244,0.000,-0.122,0
-0.921,0.139,0.338,0.061,0.122,-0.183,0
-0.919,0.135,0.336,0.244,-0.061,-0.061,0
-0.918,0.137,0.339,0.183,-0.061,0.183,0
-0.917,0.139,0.335,0.061,-0.061,-0.061,0
-0.916,0.139,0.335,0.061,0.000,-0.122,0
-0.917,0.138,0.336,0.305,0.122,0.000,0
-0.919,0.136,0.334,-0.061,0.061,0.000,0
-0.918,0.138,0.338,-0.122,-0.183,-0.122,0
-0.916,0.138,0.337,0.183,-0.061,0.061,0
-0.921,0.139,0.333,0.183,0.000,-0.122,0
-0.919,0.140,0.333,0.061,-0.122,-0.061,0
-0.919,0.138,0.334,0.305,0.000,0.000,0
-0.919,0.139,0.336,-0.122,0.000,-0.122,0
-0.917,0.139,0.335,0.122,-0.122,-0.061,0
-0.918,0.139,0.336,0.183,-0.061,0.061,0
-0.920,0.135,0.337,0.000,-0.122,-0.305,0
-0.923,0.137,0.333,0.122,-0.122,-0.122,0
-0.919,0.139,0.338,0.061,-0.183,-0.061,0
-0.919,0.138,0.334,0.122,0.061,0.122,0
-0.917,0.138,0.336,-0.061,0.000,-0.122,0
-0.919,0.137,0.334,0.122,0.000,0.061,0
-0.919,0.138,0.335,0.183,-0.122,-0.061,0
-0.917,0.137,0.336,0.000,-0.183,-0.183,0
-0.917,0.138,0.337,0.183,-0.122,-0.366,0
-0.922,0.138,0.333,0.000,0.000,0.000,0
-0.918,0.138,0.335,0.122,0.000,-0.122,0
-0.916,0.137,0.337,-0.244,-0.244,-0.183,0
-0.918,0.139,0.334,0.122,0.000,-0.122,0
-0.921,0.139,0.335,0.122,-0.061,-0.122,0
-0.918,0.138,0.337,0.000,-0.122,0.000,0
-0.918,0.138,0.336,0.122,0.000,-0.244,0
-0.918,0.137,0.333,-0.122,0.061,-0.061,0
-0.917,0.139,0.334,0.000,-0.122,0.000,0
-0.914,0.138,0.332,0.305,0.000,-0.244,0
-0.920,0.138,0.339,0.183,-0.061,-0.122,0
-0.917,0.141,0.334,0.000,0.061,-0.183,0
-0.918,0.137,0.334,0.000,0.000,0.061,0
-0.921,0.137,0.335,0.122,-0.061,0.061,0
-0.917,0.139,0.335,-0.061,-0.061,0.000,0
-0.920,0.139,0.333,0.000,0.000,-0.122,0
-0.920,0.136,0.336,0.244,0.000,-0.183,0
-0.921,0.142,0.335,0.122,0.000,0.061,0
-0.917,0.136,0.337,0.122,-0.061,0.061,0
-0.918,0.138,0.335,0.122,0.061,-0.061,0
-0.919,0.136,0.333,0.061,-0.061,-0.244,0
-0.917,0.138,0.334,-0.061,0.000,-0.183,0
-0.919,0.135,0.332,0.244,-0.061,-0.122,0
