timestamp_s,ax,ay,az,gx,gy,gz,label
0.004761,0.347,0.923,0.036,22.644,-23.437,39.916,1
0.01248,0.344,0.941,0.054,18.798,-21.484,37.719,1
0.019553,0.333,0.969,0.077,15.686,-19.47,36.315,1
0.027069,0.312,0.98,0.108,15.014,-17.272,35.583,1
0.035127,0.321,0.977,0.119,15.136,-15.014,35.705,1
0.042004,0.339,1.01,0.133,16.662,-13.549,35.766,1
0.050348,0.376,1.028,0.137,19.775,-12.023,35.095,1
0.05814,0.41,1.024,0.128,22.705,-10.742,34.118,1
0.066221,0.44,1.01,0.127,25.512,-9.46,33.264,1
0.072981,0.462,0.978,0.114,27.526,-7.324,33.02,1
0.081531,0.468,0.941,0.089,26.062,-5.371,33.142,1
0.08902,0.449,0.928,0.07,22.277,-3.845,33.508,1
0.095847,0.423,0.916,0.074,16.662,-1.708,34.057,1
0.104255,0.406,0.889,0.08,8.178,1.77,34.362,1
0.11139,0.386,0.896,0.067,-2.746,5.004,34.362,1
0.119154,0.416,0.931,0.081,-13.488,8.666,34.79,1
0.129682,0.41,1.051,0.108,-18.31,11.23,34.057,1
0.135922,0.513,1.187,0.157,-9.277,13.122,33.264,1
0.144595,0.548,1.248,0.175,6.713,13.305,31.982,1
0.152477,0.518,1.253,0.187,27.282,13.305,29.968,1
0.159843,0.452,1.197,0.172,40.893,13.732,28.686,1
0.168716,0.395,1.14,0.137,45.898,14.526,27.343,1
0.176148,0.339,1.112,0.087,43.457,16.113,26.245,1
0.184156,0.299,1.088,0.05,37.414,17.517,25.085,1
0.19126,0.252,1.091,0.021,32.104,19.287,23.376,1
0.199232,0.219,1.09,0.018,30.09,21.789,21.789,1
0.205873,0.191,1.067,0.024,30.395,24.902,20.263,1
0.21491,0.164,1.016,0.029,29.052,28.625,19.165,1
0.221728,0.106,0.972,0.04,24.719,32.226,19.226,1
0.230191,0.079,0.977,0.08,20.874,36.804,19.958,1
0.237756,0.125,1.024,0.083,15.747,40.832,20.69,1
0.246044,0.118,1.116,0.056,11.23,40.954,21.057,1
0.253808,0.129,1.155,0.031,15.502,39.001,20.751,1
0.261269,0.14,1.169,0.048,34.423,36.804,19.226,1
0.268741,0.141,1.144,0.025,54.016,35.949,17.089,1
0.277798,0.164,1.073,-0.027,65.734,34.79,15.38,1
0.285268,0.197,0.981,-0.076,69.335,33.996,14.831,1
0.294626,0.208,0.915,-0.155,67.077,32.531,15.136,1
0.301828,0.215,0.842,-0.18,64.453,29.418,16.54,1
0.310739,0.201,0.79,-0.206,66.711,26.55,19.287,1
0.317707,0.172,0.77,-0.194,71.533,23.925,20.935,1
0.326783,0.19,0.756,-0.173,83.129,21.972,23.01,1
0.334037,0.25,0.782,-0.16,95.458,20.141,25.451,1
0.342436,0.316,0.873,-0.125,106.506,18.737,26.855,1
0.349083,0.344,0.983,-0.084,119.75,18.249,27.038,1
0.357763,0.348,1.027,-0.066,129.394,17.272,27.038,1
0.366822,0.333,1.027,-0.053,132.324,16.662,26.855,1
0.373691,0.359,1.015,-0.043,122.436,17.028,26.489,1
0.383656,0.364,1.014,-0.046,105.163,18.188,26.55,1
0.390539,0.366,1.014,-0.062,83.068,19.714,26.55,1
0.398369,0.352,0.997,-0.094,52.551,21.423,26.855,1
0.407167,0.352,0.984,-0.123,26.977,22.766,27.77,1
0.416473,0.367,0.998,-0.165,1.464,24.475,28.808,1
0.423468,0.349,1.036,-0.209,-16.052,25.695,29.113,1
0.432305,0.303,1.087,-0.27,-32.165,26.0,28.869,1
0.440909,0.3,1.156,-0.309,-44.616,25.878,28.381,1
0.448045,0.332,1.251,-0.341,-45.166,25.207,27.099,1
0.456406,0.345,1.34,-0.409,-35.705,21.789,25.085,1
0.46477,0.346,1.444,-0.445,-19.042,18.92,22.338,1
0.47253,0.317,1.503,-0.527,-7.019,15.502,18.371,1
0.479662,0.272,1.585,-0.615,-8.728,12.939,15.624,1
0.487954,0.271,1.753,-0.73,-19.531,10.437,10.62,1
0.496475,0.283,1.991,-0.83,-31.677,7.812,3.051,1
0.504179,0.305,2.214,-0.922,-45.471,5.859,-4.76,1
0.512026,0.353,2.401,-1.033,-76.11,4.333,-15.563,1
0.520453,0.413,2.518,-1.098,-113.952,3.845,-25.451,1
0.529442,0.494,2.658,-1.158,-152.771,2.99,-35.888,1
0.53781,0.552,2.867,-1.269,-183.288,1.159,-46.142,1
0.545163,0.604,3.093,-1.396,-189.88,-6.042,-59.997,1
0.553869,0.687,3.336,-1.501,-167.48,-16.601,-74.401,1
0.561763,0.759,3.513,-1.552,-141.296,-29.052,-91.125,1
0.570113,0.775,3.644,-1.524,-131.958,-35.949,-105.041,1
0.578677,0.774,3.66,-1.512,-151.306,-43.457,-121.643,1
0.587082,0.809,3.327,-1.324,-197.57,-46.813,-134.46,1
0.594656,0.722,3.297,-1.161,-253.967,-45.41,-145.446,1
0.603396,0.73,3.267,-1.094,-302.795,-52.795,-156.372,1
0.610338,0.652,3.108,-0.871,-306.457,-61.767,-165.588,1
0.619269,0.662,2.952,-0.607,-277.832,-73.486,-173.156,1
0.626281,0.695,2.703,-0.294,-207.031,-92.163,-181.762,1
0.634498,0.716,2.485,0.089,-120.666,-101.013,-187.866,1
0.64235,0.694,2.449,0.209,-34.79,-109.68,-194.519,1
0.649263,0.525,2.249,0.423,30.334,-111.694,-201.965,1
0.658811,0.533,1.836,0.471,49.926,-108.703,-209.533,1
0.665481,0.509,1.237,0.49,10.498,-98.449,-211.425,1
0.673851,0.493,1.178,0.461,-50.354,-90.026,-210.937,1
0.682861,0.368,0.982,0.428,-96.618,-83.618,-208.74,1
0.689587,0.326,1.086,0.417,-101.562,-83.801,-206.298,1
0.697064,0.263,1.166,0.461,-72.082,-85.571,-205.017,1
0.705224,0.157,1.24,0.419,-34.423,-87.829,-205.383,1
0.713936,-0.007,1.277,0.409,-5.187,-90.148,-207.214,1
0.721434,-0.117,1.296,0.37,14.648,-90.759,-209.899,1
0.729643,-0.226,1.309,0.362,20.996,-91.613,-212.89,1
0.736692,-0.311,1.295,0.353,25.329,-91.796,-215.393,1
0.744975,-0.373,1.299,0.374,33.02,-93.444,-218.322,1
0.752648,-0.475,1.325,0.391,46.325,-93.811,-221.069,1
0.761358,-0.555,1.327,0.432,69.091,-95.703,-224.609,1
0.77013,-0.59,1.267,0.454,106.201,-95.458,-229.37,1
