timestamp_s,ax,ay,az,gx,gy,gz,label
0.005662,0.575,-0.638,0.563,-0.854,-1.159,-0.061,0
0.015378,0.576,-0.632,0.565,-1.586,-1.281,0.183,0
0.02138,0.572,-0.637,0.562,-1.831,-1.281,0.122,0
0.030193,0.57,-0.633,0.565,-1.342,-1.22,0.183,0
0.038202,0.571,-0.629,0.569,-1.098,-1.464,0.366,0
0.044703,0.57,-0.632,0.574,-0.183,-1.464,0.732,0
0.052623,0.576,-0.629,0.568,0.305,-1.464,0.549,0
0.059926,0.575,-0.626,0.57,0.854,-1.647,0.61,0
0.067066,0.573,-0.623,0.568,1.159,-1.525,0.793,0
0.074263,0.576,-0.622,0.569,1.464,-1.464,0.671,0
0.082303,0.572,-0.621,0.572,1.525,-1.403,0.732,0
0.090123,0.574,-0.623,0.565,1.525,-1.464,0.854,0
0.096955,0.573,-0.623,0.566,1.953,-1.464,0.793,0
0.104341,0.571,-0.625,0.572,2.014,-1.464,0.793,0
0.112639,0.57,-0.627,0.575,1.831,-1.342,0.549,0
0.120594,0.571,-0.629,0.573,1.708,-1.464,0.854,0
0.128633,0.573,-0.63,0.57,1.037,-1.22,0.793,0
0.136704,0.572,-0.632,0.574,1.098,-1.281,0.732,0
0.145613,0.574,-0.629,0.574,0.732,-1.281,0.915,0
0.153569,0.57,-0.632,0.57,0.732,-1.22,0.793,0
0.160881,0.57,-0.625,0.575,0.671,-1.22,0.732,0
0.169326,0.569,-0.622,0.571,0.549,-1.098,0.671,0
0.176034,0.572,-0.624,0.571,0.366,-1.037,0.915,0
0.184662,0.572,-0.618,0.569,0.427,-1.098,0.549,0
0.193384,0.573,-0.618,0.571,0.488,-1.037,0.427,0
0.200245,0.57,-0.622,0.571,0.244,-1.342,0.183,0
0.207027,0.574,-0.62,0.569,0.366,-1.403,0.0,0
0.213453,0.572,-0.622,0.577,0.549,-1.098,0.122,0
0.222384,0.572,-0.621,0.573,0.793,-1.281,0.183,0
0.230176,0.571,-0.624,0.579,1.159,-1.159,0.061,0
0.237415,0.57,-0.627,0.58,0.976,-1.342,0.122,0
0.245566,0.573,-0.629,0.581,0.976,-1.037,0.061,0
0.254598,0.571,-0.626,0.576,1.22,-1.22,0.183,0
0.261434,0.57,-0.63,0.573,1.159,-1.037,0.244,0
0.268672,0.568,-0.632,0.576,0.976,-0.854,0.122,0
0.278497,0.57,-0.631,0.578,1.037,-0.793,0.427,0
0.285405,0.575,-0.63,0.574,0.793,-0.671,0.244,0
0.293384,0.576,-0.63,0.576,0.549,-0.854,0.366,0
0.300876,0.573,-0.631,0.573,0.549,-0.732,0.427,0
0.308152,0.574,-0.627,0.573,0.183,-0.732,0.549,0
0.31691,0.572,-0.631,0.572,0.183,-0.488,0.488,0
0.324561,0.57,-0.631,0.575,-0.305,-0.549,0.732,0
0.333044,0.566,-0.632,0.572,-0.671,-0.671,0.793,0
0.341187,0.569,-0.628,0.568,-0.854,-0.61,0.732,0
0.350236,0.567,-0.629,0.567,-1.159,-0.61,0.793,0
0.356848,0.567,-0.631,0.569,-1.586,-0.793,0.793,0
0.365563,0.567,-0.637,0.576,-1.953,-0.793,0.793,0
0.374165,0.568,-0.628,0.572,-1.953,-0.854,0.854,0
0.381168,0.569,-0.629,0.58,-1.708,-0.732,0.976,0
0.389931,0.567,-0.626,0.575,-1.342,-0.671,0.976,0
0.39919,0.57,-0.627,0.576,-1.098,-0.671,0.732,0
0.406471,0.569,-0.622,0.576,-0.732,-0.793,0.61,0
0.413665,0.569,-0.623,0.577,-0.305,-0.488,0.732,0
0.422096,0.569,-0.625,0.569,0.061,-0.488,0.732,0
0.431239,0.567,-0.621,0.57,-0.061,-0.732,0.854,0
0.43834,0.569,-0.624,0.575,-0.244,-0.488,0.732,0
0.445568,0.573,-0.624,0.567,-0.427,-0.366,0.976,0
0.454309,0.572,-0.618,0.567,-0.732,-0.61,0.854,0
0.46218,0.573,-0.617,0.571,-0.854,-0.671,0.854,0
0.470016,0.572,-0.621,0.572,-0.976,-0.549,0.732,0
0.478101,0.575,-0.624,0.575,-0.854,-0.366,0.915,0
0.486984,0.575,-0.622,0.572,-0.915,-0.488,0.976,0
0.493471,0.573,-0.624,0.571,-0.61,-0.305,1.159,0
0.50269,0.576,-0.624,0.571,-0.305,-0.61,1.037,0
0.50979,0.576,-0.624,0.57,-0.427,-0.854,1.159,0
0.518072,0.578,-0.622,0.571,-0.305,-0.854,1.464,0
0.526182,0.577,-0.621,0.568,-1.281,-0.61,1.22,0
0.534566,0.575,-0.617,0.568,-1.831,-0.976,1.098,0
0.54214,0.575,-0.624,0.57,-2.075,-0.854,1.159,0
