timestamp_s,ax,ay,az,gx,gy,gz,label
0.005564,-0.005,1.006,0.185,35.095,-23.559,-29.479,2
0.014189,0.002,1.021,0.192,35.949,-22.521,-29.541,2
0.021211,0.006,1.047,0.207,36.376,-21.118,-29.724,2
0.028561,0.01,1.077,0.224,38.33,-19.897,-29.968,2
0.036992,0.04,1.109,0.236,42.114,-17.7,-30.334,2
0.043463,0.048,1.152,0.25,46.752,-15.808,-31.127,2
0.05113,0.04,1.205,0.257,48.339,-13.244,-31.86,2
0.057881,0.043,1.252,0.271,46.203,-10.498,-32.348,2
0.066105,0.055,1.303,0.279,38.513,-6.53,-33.569,2
0.073045,0.062,1.378,0.284,25.573,-2.624,-35.095,2
0.081575,0.066,1.479,0.3,9.643,2.319,-37.17,2
0.087603,0.057,1.59,0.314,-3.723,6.53,-40.161,2
0.096833,0.065,1.709,0.33,-10.559,10.131,-44.006,2
0.105081,0.092,1.848,0.339,-12.573,13.061,-49.438,2
0.113782,0.044,1.973,0.351,-9.277,16.174,-57.617,2
0.1207,0.068,2.064,0.357,-3.112,18.31,-64.697,2
0.128232,0.068,2.132,0.364,4.638,19.897,-72.021,2
0.137291,0.067,2.198,0.375,12.817,21.667,-79.711,2
0.145703,0.04,2.281,0.393,24.475,24.108,-89.172,2
0.153547,0.013,2.353,0.409,35.156,26.245,-98.022,2
0.161011,-0.047,2.427,0.435,47.363,28.137,-106.994,2
0.169831,-0.105,2.438,0.443,63.11,30.578,-117.675,2
0.177149,-0.149,2.386,0.451,70.8,33.508,-126.77,2
0.185928,-0.138,2.266,0.448,70.373,38.391,-136.047,2
0.193664,-0.134,2.078,0.444,63.476,43.212,-142.822,2
0.201767,-0.123,1.883,0.437,49.621,49.682,-148.315,2
0.209246,-0.038,1.657,0.409,30.517,55.419,-151.794,2
0.218274,-0.048,1.453,0.37,14.282,60.852,-153.442,2
0.225761,-0.031,1.216,0.327,-1.22,65.734,-154.113,2
0.234262,-0.031,0.985,0.256,-20.019,70.129,-152.465,2
0.241566,0.025,0.76,0.198,-37.17,72.753,-150.268,2
0.2499,0.094,0.566,0.149,-45.837,75.195,-148.437,2
0.258905,0.071,0.401,0.108,-52.429,76.721,-146.423,2
0.267837,0.081,0.238,0.06,-61.279,78.186,-143.249,2
0.275217,0.105,0.137,0.051,-70.861,78.491,-141.906,2
0.283917,0.141,0.071,0.023,-82.519,78.857,-140.563,2
0.290853,0.219,0.018,0.014,-96.679,79.223,-139.343,2
0.298998,0.266,-0.012,0.006,-113.464,80.322,-138.061,2
0.305609,0.246,-0.017,0.013,-127.319,78.796,-137.023,2
0.314055,0.281,-0.025,0.0,-142.639,79.101,-135.253,2
0.323529,0.361,-0.046,-0.007,-163.269,78.125,-133.117,2
0.330901,0.324,-0.031,-0.017,-182.434,77.758,-130.126,2
0.33809,0.462,-0.016,-0.001,-205.81,74.218,-125.061,2
0.346598,0.503,-0.012,0.007,-224.06,70.617,-117.614,2
0.354055,0.386,-0.001,-0.017,-229.736,65.307,-112.854,2
0.363997,0.681,0.0,-0.029,-229.431,63.842,-105.346,2
0.371083,0.673,0.011,-0.028,-228.576,60.485,-98.51,2
0.381092,0.687,0.003,-0.028,-223.51,59.265,-93.017,2
0.38903,0.741,0.001,-0.012,-212.463,54.077,-86.425,2
0.396241,0.834,0.023,-0.025,-190.551,50.354,-80.2,2
0.405469,0.934,0.038,0.012,-163.696,44.372,-74.951,2
0.41374,1.01,0.03,0.007,-131.774,38.879,-69.763,2
0.421343,1.013,0.02,0.027,-95.214,31.86,-64.392,2
0.429979,0.947,-0.001,0.006,-63.476,26.977,-59.936,2
0.437037,0.892,0.005,0.013,-39.672,23.864,-56.091,2
0.445903,0.87,0.003,-0.003,-18.005,21.301,-52.246,2
0.453147,0.818,0.021,0.007,2.38,19.897,-47.729,2
0.461207,0.811,0.038,-0.026,22.827,18.981,-42.297,2
0.469505,0.758,0.062,-0.02,48.156,19.348,-33.996,2
0.477068,0.722,0.07,-0.062,70.068,19.348,-25.817,2
0.484394,0.714,0.092,-0.056,99.06,20.507,-14.648,2
0.492366,0.766,0.115,-0.103,127.624,20.019,-2.929,2
0.501286,0.791,0.119,-0.116,156.616,18.066,9.765,2
0.509032,0.706,0.096,-0.172,180.664,14.465,21.423,2
0.516232,0.558,0.096,-0.215,197.143,7.69,30.334,2
0.525207,0.545,0.17,-0.28,198.974,1.281,33.63,2
0.532506,0.58,0.29,-0.299,188.903,-4.028,33.935,2
0.540007,0.545,0.439,-0.328,169.372,-6.164,34.057,2
0.547216,0.458,0.649,-0.345,140.808,-8.728,34.362,2
0.556413,0.44,0.85,-0.325,114.44,-8.789,34.118,2
0.563764,0.404,1.046,-0.312,89.416,-9.887,31.188,2
